id,source sentence,reference,translate_result,is error translated
18,"The LWB Mg/Al weld was characterized by complex vortex flow at the bottom, and there existed intermetallic compound layer between weld pool and lower sheet metal, which was composed of the brittle phases of Al_3Mg_2 and Al_(12)Mg_(17), resulting in the formation of weld cracking.",激光胶接焊镁合金和铝合金异种材料，焊缝下板的组织呈涡流状，焊缝底部镁和铝元素的熔合区存在金属间化合物层，该金属间化合物层由Al_3Mg_2和Al_(12)Mg_(17)组成，这是造成其接头断裂的主要原因。,"激光焊接Mg/Al焊缝底部存在复杂涡流,且焊池与下层板料之间存在由Al_3Mg_2及Al_（12）Mg_（17）脆性相组成的金属间化合物层,导致焊接裂纹的形成。",
19,"(1) This section applies to an agreement between 2 or more persons which includes provision for the acquisition by any one or more of them of interests in shares of a particular listed company (""the target company""), being shares comprised in the relevant share capital of that company if-",(1) 如2人或多於2人缔结协议，协议包括条文，规定由其中1人或多於1人取得某间指定的上市公司(“目标公司”)有关股本中的股份的权益，而又有以下各项情况时，则本条适用於该协议─,(b) 凡任何人士就某项协议而获授权代表该人士行事，而该项协议的涵义并不影响该人士就该项协议所订立的条文。,
20,"The economy of the People's Republic of China, in its turn, is projected to grow 9.3 percent this year and 8.8 percent in 2007 according to figures published Monday by the“China Securites Journal ”quoting the state information service.",周一发行的中国《证券月刊》援引了中国国家信息部门的数据，据预计，中华人民共和国今年的经济将增长9.3%，2007年将增长8.8%。,据《中国证券报》周一援引国家信息服务机构的数据，预计今年中国经济将增长 9.3%，2007 年将增长 8.8%。,
21,Sugar apple is a medium - sized tropical fruit.,释迦是一种中等大小的热带水果。,释迦牟尼是一种中型的热带水果。,
22,"A time period shall not include traveling time, a litigation document that is mailed before the expiration of a time limit shall not be regarded as overdue.",期间不包括在途时间，诉讼文书在期满前交邮的，不算过期。,期间不包括路途时间，提前寄送的诉讼文书不视为逾期。,
23,"Follow - up was carried out, computed tomography(CT) images and color ultrasonic images proved a fully patent graft 8 - 6months after operation and no recurrence.",随访8～60个月，情况良好，无胰腺癌复发，彩超和CT显示移植人造血管通畅。,术后8 - 6个月随访，CT图像及彩色超声图像显示移植瘤完全通畅，无复发。,
24,"SAFE Branches in all provinces, autonomous regions, and municipalities directly under the Central Government, exchange administration offices, and SAFE branches in the cities of Shenzhen, Dalian, Qingdao, Xiamen, and Ningbo:",国家外汇管理局各省、自治区、直辖市分局、外汇管理部，深圳、大连、青岛、厦门、宁波市分局：,各省、自治区、直辖市分局，外汇管理局，深圳、大连、青岛、厦门、宁波市分局：,
25,"A: I won't have that coffee right now, but can I take a rain check on it?",我现在不喝咖啡，我可以过一会儿再喝吗？,A：我现在不喝咖啡，但是我可以先喝一下吗？,
26,Computer Real-Time Monitor and Control for the Working Process of a New Type of Slotting Machine,一种新型开槽机工作过程的计算机实时监控,新型插床工作过程的计算机实时监控,
27,Application in the World Expo Model Based on the Virtual Reality Technology of VRML,基于VRML的虚拟现实技术在世博会场馆模型中的应用,基于VRML虚拟现实技术的世博模型应用,
28,Objective To gain stable genetic modification of neural stem cells (NSC) that constitutively secrete brain-derived neurotropic factor (BDNF) and to explore the biological role on the survival and neurite outgrowth of cultured dorsal root ganglion (DRG) neurons.,目的建立稳定表达脑源性神经营养因子(BDNF)基因的神经干细胞并观察其对于体外培养的脊髓背根神经节(DRG)细胞存活及突起生长的影响。,目的获得稳定分泌脑源性神经营养因子（BDNF）的神经干细胞（NSC）的遗传改造，并探讨其对培养背根神经节（DRG）神经元存活和神经突生长的生物学作用。,
29,Technical specification for investigation of geotechnical engineering of fossil fuel power plant,火力发电厂岩土工程勘测技术规程,火力发电厂岩土工程勘察技术规范,
30,People have a sweet tooth at movies.,糖果生意好吗? -人们看电影总喜欢吃甜食,人们喜欢看电影。,
31,"To “stumble” means to fall; “stumbling block,” then, would be something in your path – in your way that would make you fall.","“stumble”意思是降落；“stumbling block,”是指挡在你使你失败的事物。",“stumble” 的意思是跌倒；那么“stamling block” 就是你路上的某种东西，会使你跌倒。,
32,"Article 9 The relevant competent administrative departments in the provinces, autonomous regions and municipalities directly under the Central Government are responsible for the standardization work in their own departments and trades in the respective administrative regions, and shall perform the following duties:",第九条  省、自治区、直辖市有关行政主管部门分工管理本行政区域内本部门、本行业的标准化工作，履行下列职责：,第九条 省、自治区、直辖市人民政府有关行政主管部门负责本行政区域内本部门、本行业的标准化工作，履行下列职责：,
33,"(1) Where, on the application of the Manager of an authorized institution at any time during the period for which a direction given under section 52 (1) (C) is in force in respect of the institution, it appears to the Court of First Instance that-",(1) 在根据第52(1)(C)条发出的指示就任何认可机构生效的期间内的任何时间，如该认可机构的经理人提出申请而原讼法庭觉得─,(c) 凡任何认可机构的经理根据第52(1)(C)条发出的指示在该机构的有效期内的任何时间提出申请，原讼法庭认为该机构的经理可就该机构的职能或程序，向该机构发出指示。,
34,"Circular of the State Administration of Taxation of the People's Republic of China, on Issues Concerning Strengthening the Administration of Special Payment Books of Customs Import VAT and that of the Invoice of Waste and Outdated Materials",国家税务总局关于加强海关进口增值税专用缴款书和废旧物资发票管理有关问题的通知,国家税务总局关于加强海关进口增值税专用缴款书和废旧物资发票管理有关问题的通知,
35,"“This year we want to highlight the Portuguese-speaking countries and maximize business with the Portuguese and African markets, ”Hor ácio Melo, who was responsible for the event promoted by the Brazilian Service to Support Micro and Small Companies(Sebrae) of the State of Ceará, told Portuguese news agency Lusa.",该会议由塞阿拉州“巴西支持中小企业协会”筹划开展，欧拉西奥•梅洛负责组织会议。他告诉葡萄牙卢萨社，“今年，我们希望强调葡语国家共同体成员国之间的贸易机遇，并最大限度地开展与葡萄牙和非洲的业务”。,巴西塞阿拉州中小微型企业支持服务局（Sebrae）主办的此次展会的负责人 Hor ácio Melo 向葡萄牙卢萨社表示：“今年，我们希望重点展示葡语国家，并最大程度地拓展葡萄牙和非洲市场的业务。”,
36,Oxygen in the gas phase was beneficial to the absorption of NO into the hexamminecobalt solution. The experiments performe manifestly that the hexamminecobalt solution coupled with catalytic regeneration of hexamminecobalt (Ⅱ) was able to maintain a high nitric oxide removal efficiency for a long time.,"[Co(NH3)6]2+溶液能有效地脱除废气中的NO,废气中的氧有利于NO的脱除,采用活性炭催化再生[Co(NH3)6]2+后,002mol/L[Co(NH3)6]2+溶液脱除NO的效率能长期保持在80%以上.",气相中的氧气有利于六氨合钴溶液对NO的吸收，实验表明六氨合钴溶液结合六氨合钴（Ⅱ）催化再生能长时间维持较高的NO去除率。,
37,"3. The foreign exchange sale, purchase and payment of the QFII; and",（三）结汇和售付汇情况；,（三）合格投资者的结售汇、购汇、付汇业务；和,
38,"Convention on the Conservation and Management of Pollack Resources in Central Bering Sea Area, Washington, 1994",中白令海域狭鳕养护与管理公约(1994年2月11日),白令中部海域明太鱼资源保护和管理公约，华盛顿，1994 年,
39,But the Pentagon recently gave the program the green light to build the first 20 avionics kits under Low -Rate Initial Production.,然而，国防部最近对该计划给了绿灯，小批量试生产首批的20个航空电子设备套件。,但五角大楼最近批准该计划以低速率初始生产的方式制造前 20 套航空电子设备。,
40,"The company, which operates over 500 routes, also plans a stock exchange listing by the end of the year, after merging with subsidiary airlines, under the name Grand China.",海航目前运营着500多条航线。海航集团与新华航空控股有限公司（大新华航空）重组之后，该集团还计划于今年年底之前上市。,该公司运营着 500 多条航线，还计划在与子公司合并后，以“大新华航空”的名义在今年年底上市。,
41,Specification for design of insulation and painting of fossil fuel power plant,火力发电厂保温油漆设计规程,火力发电厂保温与涂装设计规范,
42,That deeply angered not only Ecuador but other countries in South America who will meet next Friday.,这不仅令厄瓜多尔感到愤怒，也令周五即将会面的南美其他国家也感到生气。,这不仅激怒了厄瓜多尔，也激怒了下周五即将举行会议的其他国家。,
43,"""Now we'll have an order of magnitude more people that interview for those same positions.""",“如今，同样数量的职位却能吸引到更多的候选人。”,“现在，参加相同职位面试的人数将大大增加。”,
44,"Circular of the General Administration of Quality Supervision, Inspection and Quarantine of the People's Republic of China, on Several Opinions on Further Strengthening Administration of Inspection of Import Waste Raw Materials",质检总局关于进一步加强进口废物原料检验管理工作若干意见的通知,国家质量监督检验检疫总局关于进一步加强进口废物原料检验管理的若干意见的通知,
45,(5) The Road Company and the Mass Transit Railway Corporation shall afford reasonable access to any utility in the immersed tube by the owner or person having the control of that utility.,(5) 道路公司及地下铁路公司须提供合理的通道，让沉管内任何公用设施的拥有人或掌管人前往该公用设施所在地方。,(5) 道路公司及地下铁路公司须为拥有者或控制沉管内任何公用设施的人提供合理通道。,
46,"For ALT,levels only incrased in patients with hepatitis and typhoid fever with none in bacillary dysentery and mumps. In pediatric patients with RRI,RBCC_3bRR(%),CG,C_3,IgG levels were significantly higher than those in controls(P<0.05) with no significant differences in the case of RBCICR(%),HA,IgM and IgA levels(P>0.05).","RRI组结果显示,RBCC3bRR(%)、CG、C3及IgG水平显著高于对照组(P均<0.05),RBCIC(%)、HA、IgA及IgM与对照组比较差异无显著性(P均>0.05)。",结论:A、B两组RRI患儿血清ALT、HCV、IL-1β、IL-6、IL-8、IL-1β ...,
47,"Circular of the National Development and Reform Commission, the Ministry of Commerce of the People's Republic of China, on Making Efforts to Accomplish the Work of Administrating the Procurement Price and Market of Cocoon in 2004","国家发展改革委,商务部关于做好2004年蚕茧收购价格及市场管理工作的通知",国家发展改革委、商务部关于做好2004年茧丝收购价格和市场管理工作的通知,
48,"According to the directorate there were a number of factors that had buoyed Macau's economic growth, particularly investment which had increased by 56.9 percent against 2004 and total gaming revenues, which rose by 8.3 percent year on year.",统计暨普查局称，澳门经济增长有若干因素，特别是投资，较2004年增长了56.9%，博彩业总收入同比增长8.3%。,澳门特区政府旅游局局长李满长表示，2004年澳门的经济增长得益于多项因素，尤其是投资，投资额比2004年增长了56.9%，博彩总收入也比2004年增长了8.3%。,
49,"""conventional liquid fuel"" (常规液体燃料) and ""conventional solid fuel"" (常规固体燃料) have the same meanings as in regulation 3 (2) of the Air Pollution Control (Furnaces, Ovens and Chimneys) (Installation and Alteration) Regulations (Cap 311 sub. leg.);",“常规液体燃料”(conventional liquid fuel) 及“常规固体燃料”(conventional solid fuel)的涵义与《空气污染管制(火炉、烘炉及烟囱)(安装及更改)规例》(第311章，附属法例)第3(2)条中该两词的涵义相同;,"""conventional liquid fuel"" (常规液体燃料) and ""conventional solid fuel"" (常规固体燃料) have the same meanings as in regulation 3 (2) of the Air Pollution Control (Furnaces, Ovens and Chimneys) (Installation and Alteration) Regulations (Cap 311 sub. leg.);",
50,"Requisition of land other than those prescribed in the preceding paragraph shall be subject to the approval of people's governments of the provinces, autonomous regions and municipalities directly under the Central Government, and submitted to the State Council for the record.",征用前款规定以外的土地的，由省、自治区、直辖市人民政府批准，并报国务院备案。,征用前款规定以外的土地，应当经省、自治区、直辖市人民政府批准，并报国务院备案。,
51,The gene expression of chimeric virus could be detected in 293T cells transfected by SHIV proviral DNA.,用此SHIV原病毒DNA转染293T细胞，细胞中能够检测到嵌合病毒基因的转录与翻译;,SHIV前病毒DNA转染的293T细胞中可以检测到嵌合病毒基因的表达。,
52,"(2) All matters relating to the remuneration and the terms and conditions of appointment of the Chief Executive, and his suspension or dismissal from office, shall be determined by the Corporation, subject to the approval of the Governor.",(2) 关於总裁的薪酬与委任条款及条件，以及停职或免职的一切事宜，均由公司决定，但须经总督批准。,(1) 任何有关行政长官的薪酬及聘用条款及条件，以及行政长官的停职或免职，均由公司决定，但须经总督批准。,
53,Research on Perception Ability of Risk and Resignation of Independent Directors: Case Study of Chinese Listed Companies,风险感知力与独立董事辞职行为研究——来自中国上市公司的经验,独立董事风险感知能力与辞职研究——基于中国上市公司的案例研究,
54,"The same source indicated that between January and May exports to Cape Verde increased 27 percent to 72.3 million euros(US$92.9 million), while sales to Brazil rose 35 percent to 82.3 million euros(US$106 million).",葡国家统计局称，1-5月间对佛得角出口增长27%，总额达7230万欧元(9290万美元)；向巴西出口增长35%，总额达8230万欧元(1.06亿美元)。,葡萄牙里斯本8月11日电－据葡萄牙通讯社报道，葡萄牙对巴西的出口额达8230万欧元（1.06亿美元），同比分别增长14%和27%。,
55,The safest course of action would be to re-build the system.,最安全的操作过程是重建系统。,最安全的做法是重建系统。,
56,"Article  2 Organs for examining and confirming the two-type enterprises (EC organs) shall be MOFERT and foreign economic relations and trade departments of provinces, autonomous regions, municipalities directly under the Central Government, municipalities separately listed on the State plan and special economic zones (hereinafter referred to as provincial-level EC organs).",第二条 两类企业的审核确认机关为对外经济贸易部（以下简称经贸部）和省、自治区、直辖市、计划单列市、经济特区的对外经济贸易部门（以下简称省级审核确认机关）。,第二条 两型企业的审核认定机关（简称认定机关）为商务部和各省、自治区、直辖市、计划单列市及经济特区对外经济贸易主管部门（以下简称省级认定机关）。,
57,"Chen's daily chat show is on Phoenix satellite television station, the first foreign-funded station to be beamed into the mainland.",陈鲁豫的每日谈话节目会在凤凰卫视播出，凤凰卫视也是首家可以在内地播出的外资电视台。,陈的每日脱口秀节目在凤凰卫视播出，该电视台是第一家在大陆播出的外资电视台。,
58,"The project is part of the next Inidcative Cooperation Program(PIC) between Portugal and Mozambique for the 2007-2009 period, the memorandum of understanding for which was signed Wednesday by Jo ão Cravinho and the Mozambican deputy foreign minister, Henrique Banze.",该项目是葡萄牙与莫桑比克达成的下一个、2007-2009年合作参考计划(PIC)的一部分，若昂•克拉维诺和莫副外长Henrique Banze周三签署了有关该计划的谅解备忘录。,莫桑比克马里兰州马里恩省马里兰市，马里兰州马里兰大学，葡萄牙语：Málaga de Málaga，中文：葡萄牙语：Málaga de Málaga，中文：莫桑比克马里兰大学，葡萄牙语：Málaga de Málaga，中文：莫桑比克马里兰大学，葡萄牙语：Málaga de Málaga，中文：莫桑比克马里兰大学，葡萄牙语：Málaga de Málaga，中文：,
59,ls that a natural catastrophe or act of God or something?,这是自然的大灾难还是 上帝的旨意还是别的原因?,这是自然灾害还是天灾之类的？,
60,"December 1 marked World Aids Day. People around the world join together to celebrate progress in fighting acquired immune deficiency syndrome, better known as AIDS.",12月1日是世界艾滋病日，全世界的人们一道庆祝在抗击获得性免疫缺乏综合症(AIDS)上取得的进步。,12 月 1 日是世界艾滋病日。世界各地的人们齐聚一堂，庆祝抗击艾滋病的进展。,
61,"Have lose her passport, she is now In deep water",她丢了护照身陷困厄,护照丢了，她现在陷入困境,
62,"LEGO has essentially taken the concrete block, the building block of the world,",乐高实质上就是把水泥砖，这种真实世界中的积木，,乐高本质上采用了混凝土块，世界的基石，,
63,"(3) In the case of ventilation trunks and ducts having a cross-sectional area of 0.02 square metre or more which pass through main zone divisions, the following provisions shall apply-",(3) 就横截面面积为0.02平方米或以上并穿过主区隔板的通风槽及导管而言，以下条文适用─,(2) 任何通风管道及通风导管的横截面积不得超过其最大横截面积，亦不得超过其最大横截面积的一半。,
64,"And you will have fun en route, though not nearly as much as you'll have once you get that language in working order and take it out to the firing range of the real world!",在这个过程中你会获得乐趣，当然，这种乐趣还不能与你学会这门语言之后、并真正应用于现实的乐趣相比。,你会在途中享受到乐趣，尽管不如你掌握了该语言并将其带入现实世界的射击场后获得的乐趣！,
65,Diagnostic Value of X-Ray Computed Tomography on Neck Masses in Children,小儿颈部包块的X线计算机体层摄影术诊断,X线CT对儿童颈部肿块的诊断价值,
66,Article  16 The procedure by which the bearer of the instrument exercises his rights or preserves his rights against the debtor shall be carried out in the business premises of the party concerned during business hours or at their place of residence if no business premises exist.,第十六条  持票人对票据债务人行使票据权利，或者保全票据权利，应当在票据当事人的营业场所和营业时间内进行，票据当事人无营业场所的，应当在其住所进行。,第十六条 持票人对债务人行使权利或者保全权利的程序，应当在当事人的营业场所营业时间内办理；没有营业场所的，应当在当事人的居住地办理。,
67,"Tavares Moreira, a consultant at Banco Africano de Investimento, a financial institution in which Sonangol has a stake and which is leading the operation, told the paper that three Portuguese-owned financial groups were part of the consortium–Banco Fomento Angola, owned by BPI, Millennium Angola and Banco Totta Angola.",非洲投资银行咨询师塔瓦雷斯•莫雷拉告诉该报，Sonangol拥有非洲投资银行的股份，该行将负责这项业务运营，三家葡萄牙拥有的财务集团也加入了该财团，分别是安哥拉投资银行、安哥拉托塔银行和安哥拉千禧银行。,安哥拉非洲投资银行（Banco Africano de Investimento）顾问塔瓦雷斯·莫雷拉（Tavares Moreira）告诉该报，该财团包括三家葡萄牙金融集团，分别是安哥拉投资银行（Banco Fomento Angola，由葡萄牙投资银行（BPI）拥有）、安哥拉千禧银行（Millennium Angola）和安哥拉托塔银行（Banco Totta Angola）。安哥拉国家石油公司在该银行持有股份。,
68,"""automated people mover"" (旅客捷运系统) means the automated transportation system consisting of trains for carrying passengers between stations within the Airport;",“旅客捷运系统”(automated people mover) 指由列车组成以运载乘客往来机场内各车站的自动运输系统;,“旅客捷运系统”（automated people mover） 指由列车组成，用以在机场内各站之间运载乘客的自动化运输系统；,
69,"As a new technique in the field of microchannel phase-change heat transfer, micro capillary grooved heat sink can drive fluid flow capillary force and creat enhanced evaporation heat transfer conditions promoting the formation of an extended meniscus in the three-phase contact-line region of a microgroove. It has been used to achieve the heat exchanges with high heat transfer coefficients and high heat flux.","作为一种新兴的微通道相变换热技术,毛细微槽群蒸发热沉由于能依靠毛细力驱动液体流动,并易于在微槽内三相接触线区域促进扩展弯月面薄液膜的形成,创造高强度的蒸发换热条件,因而能够被用来实现极高换热系数和热流密度的换热过程。",微毛细管沟槽散热片作为微通道相变传热领域的一项新技术，可以驱动流体流动毛细力，创造强化的蒸发传热条件，促进三相接触线区域形成延伸的弯月面。微槽。它已被用来实现高传热系数和高热通量的热交换。,
70,"Circular of the Ministry of Finance, the State Administration of Taxation of the People's Republic of China, on Relevant Issues concerning the Cancellation of Special Agricultural Taxes Except Tobacco Leaf","财政部,国家税务总局关于取消除烟叶外的农业特产税有关问题的通知",财政部、国家税务总局关于取消烟叶以外农业特别税有关问题的通知,
71,"Output Value of Farming, Forestry, Animal Husbandry, and Fishery",农林牧渔业总产值,农林牧渔业产值,
72,"Following the lead in Asia, a shock wave of heavy declines hit all of the European markets Friday. And after weeks of extreme volatility, worries are spreading from the global financial centers to the average man and woman on the street.",星期五，紧随亚洲股市的后尘，欧洲市场急剧下跌。在经历了几个星期的剧烈震荡后，焦虑情绪正在从全球金融中心向普通市民心中蔓延。,继亚洲股市之后，周五欧洲股市也遭遇了大幅下跌。经过数周的剧烈波动后，担忧情绪已从全球金融中心蔓延至普通民众。,
73,"When we are in ""hot water,"" we are in trouble.","当说我们in hot water,也就是说我们遇到麻烦。",当我们陷入“困境”时，我们就有麻烦了。,
74,ANALYSES OF RUSTY STAIN ON THE SURFACE OF HIGH-SPEED WIRE ROD AFTER HYDROCHLORIC ACID PICKLING,盐酸酸洗高速线材的锈斑问题研究,高速线材盐酸酸洗后表面锈斑分析,
75,"Output Value of Farming, Forestry, Animal Husbandry, and Fishery by Region",各地区农林牧渔业总产值,分地区农林牧渔业产值,
76,"Somewhere in the BBC archives, there is a treasure trove of cricket history for future reference",在英国广播公司档案馆的一处，有些可供今后参考的珍贵的板球史料。,BBC 档案馆中保存着大量板球历史资料，可供日后参考,
77,"(1) Subject to subregulation (2), no person shall use a cylinder to supply liquefied petroleum gas to a gas appliance unless a pressure-regulator, set at the pressure at which that appliance is designed to receive gas, is fitted to the-",(1) 除第(2)款另有规定外，任何人不得使用石油气瓶供应石油气给气体用具，但如在以下位置装有校定在该用具接收气体的压力水平的调压器则属例外─,(c) 凡任何人在接获任何指明的申请后，须将该等申请送交该局，而该局须将该等申请送交该局，并须将该申请送交该局。,
78,How to Perform the Turnkey Lump Sum Contract for a Provincial Level Design Institute,省级化工设计院如何进行工程总承包,省级设计院如何履行总承包合同,
79,"When this occurs, the proper course of action is to remove oneself",最好的办法就是,发生这种情况时，正确的做法是离开,
80,Introduction of the Software DYNAFORM-PC and Its Application in Sheet Metal Stamping,DYNAFORM-PC软件及其在钣金冲压中的应用,DYNAFORM-PC软件介绍及其在板料冲压成形中的应用,
81,Technical specification for engineering surveying of fossil fuel power plants,火力发电厂工程测量技术规程,火力发电厂工程勘察技术规范,
82,"Analysis and Treatment of Crack of Concrete Flexural Member,Arisen from Dead Load",混凝土受弯构件因自重荷载引起裂缝的分析与处理,混凝土受弯构件自重裂缝的分析及处理,
83,"Article 8 The Ministry of Commerce shall, in line with the principles of fairness and justice, notify the general public of those illegal or irregular foreign trade operators who have undermined the foreign trade order and their acts.",第八条商务部按照公平、公正的原则，向社会公告危害对外贸易秩序的违法违规对外贸易经营者及其行为。,第八条 商务部应当按照公平、公正的原则，对破坏对外贸易秩序的违法、违规对外贸易经营者及其行为进行通报。,
84,The Qualitative Simulation Based on Deep Knowledge Model of Signed Directed Graph,基于符号定向图(SDG)深层知识模型的定性仿真,基于符号有向图深度知识模型的定性模拟,
85,"(a) on the west, by a straight line drawn from position latitude 22o 17 '43 ""north, longitude 114o 09' 56"" east to position latitude 22o 17 '13.5 ""north, longitude 114o 09' 19"" east;","(a) 西面:由北纬22 °17' 43""、东经114 °09' 56""的位置画一直线至北纬22 °17' 13.5""、东经114 °09' 19""的位置;",(a) 西面，由北纬22 °17&#39;43&quot;、东经114 °09&#39;56&quot;的位置画至北纬22 °17&#39;13.5&quot;、东经114 °09&#39;19&quot;的位置；,
86,REDISTRIBUTION OF CELL CONTENTS BETWEEN DECLINING OLD AND GROWING YOUNG LEAVES IN SPRING ONION,大葱叶片推陈出新中细胞内含物的再分配,葱叶衰老和新叶生长间细胞内容物的重新分布,
87,"""the banker paying the cheque, in good faith and without negligence, shall not be responsible or incur any liability, nor shall the payment be questioned by reason of the cheque having been crossed,""","则支付该支票之银行,如属善意且无疏忽者,不须负责或承担任何赔偿责任,该付款亦不应因该支票曾经划线,",”,
88,"Article 69 A local decree enacted by the People's Congress of a province, autonomous region, or municipality directly under the central government shall be promulgated by the presidium of the current session by way of a public announcement.",第六十九条省、自治区、直辖市的人民代表大会制定的地方性法规由大会主席团发布公告予以公布。,第六十九条 省、自治区、直辖市的人民代表大会制定的地方性法规，由会议主席团发布公告予以公布。,
89,(g) a respondent in an appeal by way of case stated by the Attorney General under section 105 of the Magistrates Ordinance (Cap 227) may be granted legal aid under these rules for the appeal and in any proceedings preliminary or incidental thereto; (L.N. 65 of 1976),(g) 律政司根据《裁判官条例》(第227章)第105条以案件呈述方式提出的上诉中的答辩人，可根据本规则就该上诉并在相关的任何初步或附带法律程序中，获给予法律援助; (1976年第65号法律公告),(f) 凡律政司根据《裁判官条例》(第227章)第105条提出上诉，而答辩人在该上诉中及在该上诉的初步程序或附带程序中，均可根据本规则获得法律援助; (1976年第65号法律公告),
