id,source sentence,reference,translate_result,is error translated
11,"""Division Officer, Family and Child Care Services, Hong Kong Council of Social Service""",香港社会服务联会家庭及儿童服务部部门干事,&quot;香港社会服务联会家庭及幼儿服务部主任&quot;,
12,"""where a bill payable to, or to the order of, a third party is paid by the drawer, the drawer may enforce payment thereof against the acceptor, but may not reissue the bill;""","如汇票付款与第三者或按其指示付款而经发票人支付者,发票人可要求承兑人执行责任支付该汇票,但不可再发行该汇票;",”,
13,"Drive along Huihe Expressway, leave the expressway at Si Jiao Lou or Tai Mei Exit, via Pingling to Longmen Hot Spring.",走惠河高速，由四角楼或泰美站出，经平陵到龙门温泉。,"Drive along Huihe Expressway, leave the expressway at Si Jiao Lou or Tai Mei Exit, via Pingling to Longmen Hot Spring.",
14,"This event indicates an attempt to create a Trojan horse version of EXPLORER.EXE, TASKMANAGER.EXE, NDDEAGENT.EXE, or USERINIT.EXE in the root of the system drive (the default user folder, if none is specified).",此事件表示有人试图在系统驱动器根目录下（如果没有指定，则是默认的用户文件夹）创建带有木马程序的 EXPLORER.EXE、TASKMANAGER.EXE、NDDEAGENT.EXE。,此事件表示尝试在系统驱动器根目录（默认用户文件夹，如果未指定）中创建 EXPLORER.EXE、TASKMANAGER.EXE、NDDEAGENT.EXE 或 USERINIT.EXE 的特洛伊木马版本。,
15,"A construction of authentication codes with arbitration from subspace of vector space over finite fields is presented, the parameters of the code are computed.",摘要利用有限域上向量空间的子空间构作了一个具有仲裁的认证码，计算了这个码的参数。,提出了有限域上向量空间子空间仲裁的认证码构造，并计算了该码的参数。,
16,And the bottom line is -- the reason why this works is,结论是 - -这样做有效的原因是 --,最重要的是——这有效的原因是,
17,Her immune system is severely compromised.,－这说明什么 －她的免疫系统不起作用了,她的免疫系统严重受损。,
18,"Air Macau also flies to Beijing, Shanghai, Chengdu, Gulin, Kunming, Nanjing, Shenzhen and Xiamen in mainland China, Taipei and Kaohsiung, Bangkok, Seoul, Pusan and Manila.",澳航的航线还包括飞往中国内地的北京、上海、成都、桂林、昆明、南京、深圳、厦门，中国台湾的台北市、高雄市，以及曼谷，首尔，釜山和马尼拉。,"Air Macau also flies to Beijing, Shanghai, Chengdu, Gulin, Kunming, Nanjing, Shenzhen and Xiamen in mainland China, Taipei and Kaohsiung, Bangkok, Seoul, Pusan and Manila.",
19,Study on a series of fermented taro products with lactic acid,香芋乳酸发酵系列产品的研究,乳酸发酵芋头系列制品的研究,
20,A STUDY ON THE AGE AND GROWTH OF SILVER CARP HYPOPHTHALMICHTHYS MOLITPIX (CUVIER ET VALENCIENNES) AND BIGHEAD ARISTICHTHYS NOBILIS (RICHARDSON) IN HEI MU MAN RESERVOIR AND THEIR RATIONAL STOCKING,黑屋湾水库鲢鳙鱼的生长及其合理放养的研究,黑目曼水库鲢鱼、鳙鱼的年龄、生长及合理放养的研究,
21,(1) The Commissioner shall assign to a motor vehicle in respect of which he has issued an international circulation permit a registration mark which shall be-,(1) 署长得就他已发出国际通行许可证的汽车配予一个登记号码─,(c) 凡署长根据第(1)款发出国际通行许可证，而该许可证是在该车辆的驾驶执照有效期内有效，则署长可在该车辆的驾驶执照有效期内，将该车辆的驾驶执照发给该车辆的注册代理人。,
22,"(1) Every motor vehicle, other than a bus or light bus, shall be so designed and constructed that the driver-",(1) 除巴士或小型巴士外，每部汽车在设计及构造上，须─,(c) 在第(2)款的规定下，任何车辆在驾驶人认为合适的情况下，不得超逾任何车辆牌照所指明的牌照长度。,
23,(4) The Society shall not consider work experience gained prior to entering into a trainee solicitor contract in Hong Kong as relevant for the purposes of paragraph (3) unless it is satisfied that-,(4) 律师会不得将在香港订立实习律师合约前所获得的工作经验视为是就第(3)款而言的有关工作经验，除非律师会信纳─,(4) 律师会不得将在香港签订见习律师合约之前所获得的工作经验视为与第(3)款的目的相关，除非律师会信纳 ——,
24,"(2) In the case of any such accident, the driver of the vehicle shall, if required, give to any police officer or to any person having reasonable grounds for so requiring the following particulars-",(2) 遇有任何该等意外，该车辆的司机在被要求时须向任何警务人员或任何有合理理由提出要求的人，提供以下详情─,(1) 凡在根据第(1)款所订的条文所指明的地点，有人因违反第(1)款而引致意外，则该人可在该地点行使其权力，而该人可在该地点行使其权力。,
25,"(2) Notice may be given to the Commissioner in office hours on any working day before that on which the operation begins, and shall specify-",(2) 通知可在开始行动前任何一个工作日的办公时间内向总监发出，其内须指明─,(1) 任何根据第(1)款作出的命令，如属有效，则可将该命令送交关长，并可将该命令送交关长。,
26,Moulding materials for windows of unplasticized polyvinyl chloride — Part 1: Designation,GB/T12001.1-1989未增塑聚氯乙烯窗用模塑料第一部分:命名,未增塑聚氯乙烯窗用模塑材料 第 1 部分：名称,
27,"The ethanol-water extract of Schefflera venulosa was successively partitioned with CHCh, EtoAc and n-butanol to yield crude extracts. From the bioactive part, CHCls extract, three compounds 4-16 were isolated by repeated column chromatography on silica gel, Sephadex LH-20 and RP18, followed by recrystalization.",密脉鹅掌柴生药材用上述同样方法得到活性部位氯仿层，再采用减压硅胶柱层析、凝胶柱层析(Sephadex LH-20)、反相硅胶柱层析和反相制备高效液相(HPLC)等手段分离得到13个单体化合物(4～16)。,"以脉叶鹅掌藤的乙醇-水提取物为原料,依次用乙醚、乙酸乙酯和正丁醇进行分离,得到粗提取物;通过硅胶、Sephadex LH-20和RP18柱层析和重结晶等方法,从活性部位氯仿提取物中分离得到3个化合物4~16。",
28,So Lo Pun Fresh Water Break Pressure Tank,锁罗盆食水减压缸,扫罗盘淡水溢流压力罐,
29,"(2) The committee shall consist of twelve voting members, or such other number as may be prescribed, elected at the annual general meeting together with the following ex-officio members-",(2) 委员会须由在周年大会选出的12名有表决权的成员或其他订明的人数，连同下列当然成员组成─,(1) 委员会须为本条例所订的条文，并须符合第(1)款的规定。,
30,but plasma t - PA is less than those of control group and stable angina pectoris with static signifi-cance (P <0.01).,而D一二聚体在冠心病组的三种不同类型中的变化不同，在稳定型心绞痛组升高但不具有统计学意义(P>0.05)，在不稳定型心绞痛组和心肌梗塞组中的变化与对照组比较升高并具有统计学意义(P<0.01)。,而血浆t-PA低于对照组及稳定性心绞痛组，具有统计学意义（P&lt;0.01）。,
31,they couldn't shrink the vacuum tube any more and keep the vacuum.,他们无法继续缩小真空管并同时保持着真空的状态。,他们无法再缩小真空管并保持真空。,
32,(g) a respondent in an appeal by way of case stated by the Attorney General under section 105 of the Magistrates Ordinance (Cap 227) may be granted legal aid under these rules for the appeal and in any proceedings preliminary or incidental thereto; (L.N. 65 of 1976),(g) 律政司根据《裁判官条例》(第227章)第105条以案件呈述方式提出的上诉中的答辩人，可根据本规则就该上诉并在相关的任何初步或附带法律程序中，获给予法律援助; (1976年第65号法律公告),(f) 凡律政司根据《裁判官条例》(第227章)第105条提出上诉，而答辩人在该上诉中及在该上诉的初步程序或附带程序中，均可根据本规则获得法律援助; (1976年第65号法律公告),
33,"(3) Where the Council is of the opinion that a person undergoing a period of assessment is unlikely to attain the professional standards required of a registered medical practitioner, the Council may terminate that person's period of assessment. (Amended 87 of 1995 s. 9)",(3) 如医务委员会认为任何在经历评核期的人相当不可能达到注册医生被规定达到的专业标准，则医务委员会可终止该人的评核期。(由1995年第87号第9条修订),(2) 任何获认可的注册医生，如其专业水平符合注册医生所须符合的水平，则该局可发出该等认可的注册医生证书，以证明该医生已获认可。(由1995年第87号第9条修订),
34,Application of affine transformation in leak location for pipelines,仿射变换在管道泄漏定位中的应用,仿射变换在管道泄漏定位中的应用,
35,"My day off today, just looking around",今天休息 ，随便瞎逛,今天休息，随便逛逛,
36,"(b) subject to subsection (3), require the applicant to apply to the Court of First Instance for rectification of the register. (Amended 25 of 1998 s. 2)",(b) 除第(3)款另有规定外，要求该申请人向原讼法庭申请将注册纪录册内资料更正。(由1998年第25号第2条修订),(a) 就本条例所订的事宜，向原讼法庭提出申请，要求更正登记册，惟该等申请须经原讼法庭批准，并须在该登记册内注明日期起计的期间内，向原讼法庭提出申请，要求更正登记册，而 ...,
37,"(1) Subject to paragraph (2), no person shall store, or cause or permit to be stored, a freight container containing dangerous goods-",(1) 除第(2)款另有规定外，任何人不得贮存，或致使或准许他人贮存载有以下危险品的货柜─,(c) 凡在指明的日期前，将载有危险货物的货柜存放在指明的地点，或指明的地点存放在该指明的地点的货物，则须将该货柜存放在指明的地点。,
38,"(1) No member of the Authority or of any committee, acting in good faith, shall be personally liable for any act done or default made-",(1) 医管局或任何委员会的成员如真诚地办事，则对─,(c) 任何委员会的成员，不论是委员会成员或任何委员会的主席或成员是否已就任何委员会的职能或职责而委任，均须负上个人法律责任。,
39,We can get blood type right away.,我们多长时间可以拿到结果? - 我们可以马上拿到血型的化验结果.,我们可以立即得到血型。,
40,(3) In addition to the requirements of subregulation (1) there shall be provided in any such spaces containing internal combustion type machinery-,(3) 除第(1)款的规定外，另须在任何设有内燃式机械的该等舱间内设置─,(2) 除第(1)款另有规定外，任何设有内燃机的舱间，须设置─,
41,"(1) Any power conferred on the Commission by section 50, 51, or 52 may be exercised in relation to a licensed leveraged foreign exchange trader if, and only if, it appears to the Commission that-",(1) 证监会可就持牌杠杆式外汇买卖商行使第50、51或52条所赋予该会的权力，但证监会必须觉得─,(1) 当且仅当委员会认为：,
42,"""Every bill of lading in the hands of a consignee or indorsee for valuable consideration representing goods to have been shipped on board a vessel shall be conclusive evidence of such shipment as against the master or other person signing the same,""","收货人或提货单受让人以有价约因取得之提货单而该提货单乃代表已装船运载之货物者,该提货单应成为针对在该单上签名之船长或其他人士有关该批货物装运之确实证据,",”,
43,"(2) The Public Health and Municipal Services Ordinance (Cap 132) does not apply to the Corporation, its property and affairs to the extent set out in the Schedule. (Amended 10 of 1986 s. 32 (1))",(2) 在附表所列范围内，《公众生及市政条例》(第132章)不适用於地铁公司和其财产及事务。(由1986年第10号第32(1)条修订),(1) 任何根据本条例第14A条订立的规例，均属有效。(由1986年第10号第32(1)条修订),
44,"(5) In this section ""Consumer Price Index (A)"" (甲类消费物价指数) means the index of that name compiled by the Commissioner for Census and Statistics.",(5) 在本条内，“甲类消费物价指数”(Consumer Price Index (A)) 指由政府统计处处长编制而以此为名的指数。,"(5) In this section ""Consumer Price Index (A)"" (甲类消费物价指数) means the index of that name compiled by the Commissioner for Census and Statistics.",
45,Have you been visiting with the Crown Prince again?,又去太子殿下那儿了,你又去拜访太子了吗？,
46,Affirmative and the Focal Point of Affirmative,肯定与肯定焦点,平权与平权的焦点,
47,"""conventional liquid fuel"" (常规液体燃料) and ""conventional solid fuel"" (常规固体燃料) have the same meanings as in regulation 3 (2) of the Air Pollution Control (Furnaces, Ovens and Chimneys) (Installation and Alteration) Regulations (Cap 311 sub. leg.);",“常规液体燃料”(conventional liquid fuel) 及“常规固体燃料”(conventional solid fuel)的涵义与《空气污染管制(火炉、烘炉及烟囱)(安装及更改)规例》(第311章，附属法例)第3(2)条中该两词的涵义相同;,"""conventional liquid fuel"" (常规液体燃料) and ""conventional solid fuel"" (常规固体燃料) have the same meanings as in regulation 3 (2) of the Air Pollution Control (Furnaces, Ovens and Chimneys) (Installation and Alteration) Regulations (Cap 311 sub. leg.);",
48,"The Angolan economy grew 15.5 percent last year, almost 4 percentage points above the growth posted in 2004, thanks to oil price increases and increased production of crude oil.",去年安哥拉经济增长15.5%，几乎比2004年增长率高出4个百分点，主要原因是石油产量的提高和油价的上涨。,安哥拉国家石油公司总裁兼首席执行官阿卜杜拉•阿卜杜拉•阿卜杜拉在致辞中表示，安哥拉是“一带一路”沿线国家之一，是安哥拉经济的重要引擎。,
49,Clinical Observation of Diabetes Mellitus of Type II Managed with Repaylinide,孚来迪治疗2型糖尿病临床观察,瑞贝西胺治疗2型糖尿病的临床观察,
50,ANALYSIS OF SHOCK WAVE IN DTH BIT,潜孔钻头中冲击波的分析,潜孔钻头冲击波分析,
51,Expression of Inducible Co-Stimulator on T lymphocytes in Peripheral Blood from the Patients with Systemic Lupus Erythematosus,可诱导共刺激分子在系统性红斑狼疮患者外周血T淋巴细胞的表达,系统性红斑狼疮患者外周血T淋巴细胞诱导型共刺激分子的表达,
52,"Studies on Physical Carbon,Chemical Carbon and Mixed Carbon in the Declouring of Monosodium Glutamate",物理碳、化学碳及混合碳对味精脱色的对比试验,物理炭、化学炭及混合炭对味精脱色作用的研究,
53,"An ecological study on the laboratory population of Oryzaephilus surinamensis (L.) was carried out under the treatment combination of five levels of temperature(25,20,28 9,30,38℃)and three levels of relative humidity(55%RH,76%RH,93%RH).","在 5种温度 (,,8 9,3,38℃ )和 3种相对湿度 (%RH ,76%RH ,93%RH)组合的情况下 ,对锯谷盗实验种群的生长、发育进行了研究。",【摘要】：以5级温度(25、20、28 9、30、38℃)和3级相对湿度(55%RH、 76%RH、93%RH）。,
54,"Neves also said the government would launch an international promotion campaign for the other large public work that the archipelago has in mind, Sao Tome's new international airport.",内韦斯还称，圣普政府还将为其它大型市政工程(如圣多美的新国际机场)举行吹风会。,圣普政府计划在2011年建设一座机场，以取代传统的巴士。圣普政府计划在2012年建设一座机场，以取代传统的巴士。,
55,(1) For the purposes of these regulations the documents to be completed in respect of dangerous goods are-,(1) 为施行本规例，须就危险品而填妥的文件为─,(c) 凡根据第(1)款获授权代表任何危险货物的承运人，或因任何该等承运人认为合适的人选而获授权代表该等承运人，则可就该等承运人就该等承运人而订立的任何规例。,
56,automatic oil temperature control tank for machine tool,机床油温自动控制箱,机床自动油温控制箱,
57,(c) to authorize the annual report or statements of receipts and payments and of assets and liabilities of the Council; (Amended 65 of 1979 s. 2),(c) 认可市政局的年报、现金收支表及资产负债表; (由1979年第65号第2条修订),(b) 批准委员会的日常工作，并批准委员会就该局的日常运作及该局的财务事宜作出报告; (由1979年第65号第2条修订),
58,(c) the declaration of any dangerous goods to be prohibited goods for the purposes of this Ordinance; (Added 8 of 1959 s. 3),(c) 为施行本条例而将任何危险品宣布为违禁品; (由1959年第8号第3条增补),(b) 就本条例而言，任何危险品的运输或运输方式，须受《1959年第8号第3条增补),
59,"The change in financing is in line with recent recommendations from the Development Assistance Committee of the Organization for Economic Cooperation and Development(OECD), which suggested the change, considering the progress made by Cape Verde's public financing.",资助方式的改变符合经济合作发展组织（OECD）发展援助委员会最近出台的建议书，该建议书认为佛公共财务已经取得了进展，建议做出这样的改变。,佛得角财政部长姆努钦表示，佛得角政府已开始实施一项财政改革，以取代政府的财政紧缩政策。,
60,"After converted from CT to conservational tillage for 13 years,the mean organic carbon sequestration rate was 53 g·m-2·a-1 and 25 g·m-2·a-1 at the depths of 0-10 cm and 10-20 cm,while under CT,it was 26 g·m-2·a-1 and 33 g·m-2·a-1,respectively.","传统耕作转变为保护性耕作13年后0~10和10~20 cm土壤有机碳固定率分别为53和25 g. m-2.a-1,传统耕作有机碳固定率分别为26和33 g.","连续耕作转为保护性耕作13年后,0~10 cm和10~20 cm土层平均有机碳固存速率分别为53 g·m-2·a-1和25 g·m-2·a-1,而连续耕作条件下0~10 cm和10~20 cm土层平均有机碳固存速率分别为26 g·m-2·a-1和33 g·m-2·a-1。",
61,"""gazetted police officer"" (宪委级警务人员) includes officers of all ranks from and including the Commissioner down to and including superintendent; (Amended 37 of 1974 s. 2)",“非委任级人员”(non -commissioned officer) 指督察级以下至警长级的警务人员，包括警长在内，亦指相等职级的侦缉人员; (由1977年第42号第2条修订),"""gazetted police officer"" (宪委级警务人员) includes officers of all ranks from and including the Commissioner down to and including superintendent; (Amended 37 of 1974 s. 2)",
62,The 1990 Nobel Prize for medicine was won by two Americans.,两名美国人获得了1990年度诺贝尔医学奖。,1990年诺贝尔医学奖由两名美国人获得。,
63,"Zhang Sifu, Jia Zhongsheng, Du Xingjia et al.Immiscible natural gas displacement field test in Daqing oilfield.",大庆油田注天然气非混相驱矿场试验研究,"Zhang Sifu, Jia Zhongsheng, Du Xingjia et al.Immiscible natural gas displacement field test in Daqing oilfield.",
64,A PROOF MATHEMATICAL INDUCTION OF THEOREM “det(AB)=detA det B”,“det(AB)=det Adet B”的数学归纳法证明,定理“the(AB)=theA the B”的数学归纳证明,
65,Long-term Trends and Prospects in Supply and Demand for Wood Products and Possible Implications for Sustainable Forest Management,木制品供求的长期趋势和前景及对可持续森林管理的可能影响,木制品供需的长期趋势和前景以及对可持续森林管理的可能影响,
66,"(1) Every application for any such licence shall be made in writing, addressed to the Council, and shall be accompanied by 3 copies of a plan, drawn to scale, of the swimming pool and the whole of the precincts thereof, and such plan shall include the following particulars-",(1) 如申请上述牌照，须藉书面致予区域市政局而提出，并须附有按比例绘制的有关泳池及其整个场地范围的图则一式3份，而该图则亦须包括以下详情─,(c) 凡在根据本条例第11条订立的规例中，有指明的条文，可将该泳池的设施、设备及设施的用途，以及该泳池的用途，连同该泳池的用途，指明的条文，载有该泳池的设施、设备及设施的用途。,
67,"(1) This section applies to an agreement between 2 or more persons which includes provision for the acquisition by any one or more of them of interests in shares of a particular listed company (""the target company""), being shares comprised in the relevant share capital of that company if-",(1) 如2人或多於2人缔结协议，协议包括条文，规定由其中1人或多於1人取得某间指定的上市公司(“目标公司”)有关股本中的股份的权益，而又有以下各项情况时，则本条适用於该协议─,(b) 凡任何人士就某项协议而获授权代表该人士行事，而该项协议的涵义并不影响该人士就该项协议所订立的条文。,
68,"(2) Where a cause of action survives as aforesaid for the benefit of the estate of a deceased person, the damages recoverable for the benefit of the estate of that person-",(2) 如任何诉讼因由为了死者遗产的利益而以上述形式留存，则为了该人遗产的利益而可追讨的损害赔偿，须受下述条文的规限─,(2) 凡为死者遗产的利益而提起的诉讼因如上所述继续存在，则为该人的遗产的利益可追讨的损害赔偿金 ——,
69,"On March 9, 2001, Li Peng, then chairman of the Standing Committee of the National People 's Congress, warned his compatriots:","2001年5月9日,全国人民代表大会常务委员会委员长李鹏警告他的同胞:",2001年3月9日，时任全国人大常委会委员长李鹏告诫同胞：,
70,And what's an act of God?,神的行为 -什么是神的行为呢?,什么是天灾？,
71,"""Determination of vitamin C in vegetables and fruits (2,6-dichloro indophenol titration method)""","""GB/T6195-1986水果,蔬菜维生素C含量测定法(2,6-二氯靛酚滴定法)""","《蔬菜、水果中维生素C的测定（2,6-二氯靛酚滴定法）》",
72,"(1) Any person who sends by, or, not being the owner or master of the vessel, carries in, any ship any dangerous goods without-",(1) 任何人以船舶运送危险品或如该人并非该船只的船东或船长而在船舶上承运危险品，而没有─,(c) 凡任何人在根据本条例第14条发出的指示下，在船舶上载有危险货物，或在该等指示下，该等指示是属有效，并不影响该人在该等指示下的行事。,
73,"In sections 67B and 67C, ""discretionary life sentence"" (酌情性终身监禁刑罚) has the same meaning as in the Long-term Prison Sentences Review Ordinance (Cap 524).",在第67B及67C条中，“酌情性终身监禁刑罚”(discretionary life sentence) 的涵义与《长期监禁刑罚覆核条例》(第524章)中该词的涵义相同。,"In sections 67B and 67C, ""discretionary life sentence"" (酌情性终身监禁刑罚) has the same meaning as in the Long-term Prison Sentences Review Ordinance (Cap 524).",
74,"Neither Lawspirit, nor its affiliates, subsidiaries nor the Licensors will have any liability for any claim based upon or arising out of the combination, operation or use of the Products with (a) any Microsoft or other third party software programs,","对于基于或由于下述各项而发生的任何索赔,无论Lawspirit,其联属公司,子公司或许可人均无任何责任:产品与(a)任何微软或其他第三方软件程序组合,操作或使用,",对于因产品与 (a) 任何 Microsoft 或其他第三方软件程序、,
75,"(1) For the management of the fund, there shall be established a committee to be known as the Social Work Training Fund Committee which shall consist of-",(1) 为管理基金，现设立一个委员会，名为社会工作训练基金委员会，成员如下─,(1) 为管理基金，现设立一个名为社会工作培训基金委员会的委员会，该委员会的成员包括 ——,
76,"He said they worked well in Eastern Europe, where governments have kept records of land ownership.","他表示东欧的工作已经顺利开展,政府已经记录了土地所有权。",他说，这种方法在东欧很有效，因为那里的政府都保存着土地所有权的记录。,
77,the commitment of a patient to a mental hospital,把病人送进精神病院,病人对精神病院的承诺,
78,"""licensed trader"" (持牌买卖商) means a licensed leveraged foreign exchange trader for the purposes of the Ordinance;",“持牌买卖商”(licensed trader) 就本条例而言，指持牌杠杆式外汇买卖商;,"""licensed trader"" (持牌买卖商) means a licensed leveraged foreign exchange trader for the purposes of the Ordinance;",
79,"The patient dies, or the patient's immune system fights off the invader.",病人死了或者病人免疫系统抵抗入侵的病菌,病人死亡，或者病人的免疫系统击退了入侵者。,
80,STUDIES ON SPACE DISTRIBUTION MODEL AND POPULATION DENSITY ESTIMATION OF BATOCERA HORSFIEDI HOPE,云斑天牛空间分布型与种群密度估计的研究,马斑天牛空间分布模型及种群密度估算研究,
81,Au Tau Raw Water and Fresh Water Pumping Station,凹头原水及食水抽水站,凹头原水及食水抽水站,
82,"""ballot paper account"" (选票结算表) means a statement prepared under section 64;",“未用的选票”(unused ballot paper) 指第61(2)条所指的未用的选票;,"""ballot paper account"" (选票结算表) means a statement prepared under section 64;",
83,"On every goods vehicle and special purpose vehicle the exhaust pipe shall be so fitted or shielded, and maintained that-",每部货车及特别用途车辆的排气管，须在装配或防护以及在保养方面符合以下的规定─,(c) 在第(2)款和(3)款的规定下，排气管的安装和维护不得超过规定时间。,
84,A construction of Non-Cartesian Authentication Codes from Vector Space over Finite Fields,有限域上向量空间中一类Non-cartesian认证码的构作,有限域上向量空间非笛卡尔认证码的构造,
85,To provide for the incorporation of the Procurator in the Colony for the Dominican Missions in the Far East.,本条例旨在就道明会远东香港总务长成立为法团而订定条文。,本条例的条文规定，在任何情况下，在任何情况下，在任何情况下，在任何情况下，在任何情况下，都必须遵守法律的规定。,
86,Days of fresh air in the rain and the sun,天阴天晴的清新空气,风雨无阻、阳光灿烂的日子,
87,"(b) in subsection (5) (a), the expression ""appropriate medical certificate"" (适当的医生证明书) means-",(b) 第(5)(a)款内“适当的医生证明书”(appropriate medical certificate) 一词指─,"(b) in subsection (5) (a), the expression ""appropriate medical certificate"" (适当的医生证明书) means-",
88,Analyzed in 6patients with lymph node tuberculosis in a clinical review,63例结核性淋巴结炎临床分析,临床回顾中对 6 例淋巴结结核患者进行了分析,
89,(3) In addition to the requirements of subregulation (1) there shall be provided in any such space containing internal combustion type machinery-,(3) 除第(1)款的规定外，另须在任何设有内燃式机械的该等舱间内设置─,(3) 除第(1)款的要求外，在任何装有内燃型机械的处所内还须设置——,
90,Report on the Supply and Demand in Accommodations for Small Households,《小家庭居所供求报告书》,小户型住宿供需报告,
91,"The Normal Bar is the brainchild of entrepreneur Chrisanna Northrupp and is co-authored by academics Professor Pepper Schwartz, sociologist at the University of Washington, and Professor James Schwartz, Director of the Centre for Social Science Research at George Mason University in Virginia.",《正常度调查》是企业家Chrisanna Northrupp的智慧结晶，并由华盛顿大学社会学家Pepper Schwartz教授、弗吉尼亚州乔治梅森大学社会科学研究中心主任James Schwartz 教授合著。,《普通律师》是企业家克里斯安娜·诺斯鲁普 (Chrisanna Northrupp) 的创意，由华盛顿大学社会学家佩珀·施瓦茨 (Pepper Schwartz) 教授和弗吉尼亚州乔治梅森大学社会科学研究中心主任詹姆斯·施瓦茨 (James Schwartz) 教授共同撰写。,
92,Moulding materials for windows of unplasticized polyvinyl chloride — Part 2: Quality specification,GB/T12001.2-1989未增塑聚氯乙烯窗用模塑料第二部分:质量规格,未增塑聚氯乙烯窗用模塑料 第 2 部分：质量规范,
93,A Primary Inquiry into the Application of BSC (Balance Score Card) in the Effective Management of Local Government,平衡计分卡在地方政府绩效管理中的应用初探,平衡计分卡在地方政府有效管理中的应用初探,
94,"(2) Save with the permission of the Court of First Instance, an appellant shall not be entitled at the hearing of the appeal to rely on any ground of appeal not specified in the application for leave to appeal. (L.N. 215 of 1982)",(2) 除非获原讼法庭准许，否则上诉人无权在上诉聆讯中倚赖任何并无在其上诉许可申请书中指明的上诉理由。(1982年第215号法律公告),(2) 除非获得原讼法庭许可，否则上诉人无权在上诉聆讯中依赖上诉许可申请中未指明的任何上诉理由。 (1982年第215号法律公告),
95,"However, 40 percent of Cape Verde's tax revenues come from its customs, a situation which will have to change due to the company's membership of the WTO.",然而，佛得角40%的税收来自海关，该国加入WTO之后，此局面将必须改变。,佛得角总统拉加德表示，佛得角政府希望通过扩大其在国际贸易中的份额，以减少贸易壁垒。,
96,"Ronald Coase get the Nobel Prize in 1991 because of the article <<nature of firm>>, after then, enterprise research of corporate governance have become more and more.",罗纳德·科斯《企业的性质》一文获得1991年诺贝尔经济学奖之后，有关公司治理结构的研究便在国内渐成燎原之势。,罗纳德·科斯因文章《<nature of firm> &gt;此后，企业公司治理的研究也越来越多。,
