序号,原句,术语,原句翻译,原句术语翻译,bert替换变异,替换术语,替换翻译,替换术语翻译,原句术语翻译,gpt建议,请问这组替换变异是否存在术语翻译一致的错误
10,"The atmosphere quality of 25K-type train is better than others in winter and summer, the atmosphere quality of hard sleeping car meets with national standards, the comfortable degree of 25K-type train is the best.",sleeping car,25K型列车冬季、夏季车内氛围品质较好，硬卧车内氛围品质符合国家标准，25K型列车舒适度最好。,['硬卧车'],"['The atmosphere quality of 25K-type train is better than others in winter and summer, the atmosphere quality of hard ride car meets with national standards, the comfortable degree of 25K-type train is the best.', 'The atmosphere quality of 25K-type train is better than others in winter and summer, the atmosphere quality of hard sleeping train meets with national standards, the comfortable degree of 25K-type train is the best.']","['ride car', 'sleeping train']","['25K型列车冬季、夏季车内氛围品质较好，硬卧车内氛围品质符合国家标准，舒适度最好。', '冬季、夏季25K型列车车内氛围品质较好，硬卧列车车内氛围品质符合国家标准，25K型列车舒适度最好。']","['硬卧车', '硬卧车']",['硬卧车'],"{'ride car': 'NO\nDifferent translations: <sleeping car: 硬卧车, ride car: 乘车>.', 'sleeping train': 'NO\nDifferent translations: <sleeping car: 硬卧车, sleeping train: 硬卧火车>'}",
11,"Business class is the most expensive, or one of the most expensive ways to travel on a train or a plane, but it is more comfortable.",business class,商务舱是最昂贵的，或者说是最昂贵的火车或飞机旅行方式之一，但它更舒适。,['商务舱'],"['Business travel is the most expensive, or one of the most expensive ways to travel on a train or a plane, but it is more comfortable.', 'Business attire is the most expensive, or one of the most expensive ways to travel on a train or a plane, but it is more comfortable.', 'Business gear is the most expensive, or one of the most expensive ways to travel on a train or a plane, but it is more comfortable.', 'Business mode is the most expensive, or one of the most expensive ways to travel on a train or a plane, but it is more comfortable.']","['Business travel', 'Business attire', 'Business gear', 'Business mode']","['商务旅行是最昂贵的，或者说最昂贵的旅行方式之一，乘坐火车或飞机，但更舒适。', '商务装是最昂贵的，或者说是乘坐火车或飞机最昂贵的出行方式之一，但更舒适。', '商务装备是最昂贵的，或者说是乘坐火车或飞机最昂贵的旅行方式之一，但它更舒适。', '商务舱是最昂贵的，或者说是最昂贵的火车或飞机旅行方式之一，但是更舒适。']","['商务旅行', '商务装是', '商务装备', '商务舱']",['商务舱'],"{'Business mode': 'NO\nDifferent translations: <Business class: 商务舱, Business mode: 商务模式>'}",
12,A conciliation statement shall have legal effect once signed and accepted by the parties.,legal effect,调解书经当事人签字并接受后，即发生法律效力。,['法律效力'],"['A conciliation statement shall have legal validity once signed and accepted by the parties.', 'A conciliation statement shall have legal status once signed and accepted by the parties.']","['legal validity', 'legal status']","['调解书经当事人签署并接受后，即发生法律效力。', '调解书经当事人签字并接受，即具有法律效力。']","['法律效力', '法律效力']",['法律效力'],"{'legal validity': 'NO\nDifferent translations: <legal effect: 法律效力, legal validity: 法律效力>.', 'legal status': 'NO\nDifferent translations: <legal effect: 法律效力, legal status: 法律地位>.'}",
13,"""Provinces, autonomous regions, municipalities directly under the central government""",central government,“各省、自治区、直辖市”,['”'],"['""Provinces, autonomous regions, municipalities directly under the central administration""', '""Provinces, autonomous regions, municipalities directly under the central authority""']","['central administration', 'central authority']","['“各省、自治区、直辖市”', '“各省、自治区、直辖市”']","['”', '”']",['”'],"{'central administration': 'NO\nDifferent translations: \ncentral government: 中央政府\ncentral administration: 中央行政', 'central authority': 'NO\nDifferent translations: central government: 中央政府, central authority: 中央权力'}",
14,The general rules of astronautic solar cell calibration,solar cell,航天太阳能电池标定通用规则,['太阳能电池'],"['The general rules of astronautic solar wind calibration', 'The general rules of astronautic solar thermal calibration', 'The general rules of astronautic solar system calibration', 'The general rules of astronautic solar radiation calibration', 'The general rules of astronautic solar flare calibration', 'The general rules of astronautic solar array calibration']","['solar wind', 'solar thermal', 'solar system', 'solar radiation', 'solar flare', 'solar array']","['航天太阳风校准通用规则', '航天太阳热校准通用规则', '航天太阳系标定通用规则', '航天太阳辐射校准通用规则', '航天太阳耀斑校准通用规则', '航天太阳能电池阵校准的一般规则']","['太阳风', '太阳热', '太阳系', '太阳辐射', '太阳耀斑', '太阳能电池']",['太阳能电池'],"{'solar array': 'NO\nDifferent translations: <solar cell: 太阳能电池, solar array: 太阳能阵列>'}",
15,"""Failure to apply for tax registration, change or cancellation of tax registration within a prescribed time limit;""",time limit,“未在规定期限内申请税务登记、变更或者注销税务登记的；”,['期限内；”'],"['""Failure to apply for tax registration, change or cancellation of tax registration within a prescribed term limit;""', '""Failure to apply for tax registration, change or cancellation of tax registration within a prescribed time period;""', '""Failure to apply for tax registration, change or cancellation of tax registration within a prescribed time frame;""']","['term limit', 'time period', 'time frame']","['“未在规定期限内申请税务登记、变更或者注销税务登记的；”', '“未在规定期限内申请税务登记、变更或者注销税务登记的；”', '“未在规定期限内申请税务登记、变更或者注销税务登记的；”']","['期限内；”', '期限内；”', '期限内；”']",['期限内；”'],"{'term limit': 'NO\nDifferent translations: <time limit: 时间限制, term limit: 期限>', 'time period': 'YES', 'time frame': 'YES'}",
16,"Article 49 When the medical and health institution finds that a worker is suspected of being an occupational disease patient, it shall let the worker himself know it and inform the employer of the matter without delay.",occupational disease,第四十九条 医疗卫生机构发现劳动者疑似职业病病人时，应当告知劳动者本人，并且及时告知用人单位。,['职业病'],"['Article 49 When the medical and health institution finds that a worker is suspected of being an occupational health patient, it shall let the worker himself know it and inform the employer of the matter without delay.', 'Article 49 When the medical and health institution finds that a worker is suspected of being an occupational hazard patient, it shall let the worker himself know it and inform the employer of the matter without delay.']","['occupational health', 'occupational hazard']","['第四十九条 医疗卫生机构发现劳动者疑似职业病病人时，应当告知劳动者本人，并及时告知用人单位。', '第四十九条 医疗卫生机构发现劳动者疑似职业病危害病人时，应当告知劳动者本人，并及时告知用人单位。']","['职业病', '职业病危害']",['职业病'],"{'occupational health': 'NO\nDifferent translations: <occupational disease: 职业病, occupational health: 职业健康>.'}",
17,Measurements of Low Densities and Capture Cross Section of the Surface States at the Si-SiO_2 Interface by the Conductance Technique,cross section,用电导技术测量Si-SiO_2界面处表面态的低密度和俘获截面,['截面'],['Measurements of Low Densities and Capture a Section of the Surface States at the Si-SiO_2 Interface by the Conductance Technique'],['a Section'],['用电导技术测量Si-SiO_2界面处的低密度和表面态截面'],['截面'],['截面'],"{'a Section': 'NO\nDifferent translations: <Cross Section: 横截面, a Section: 一个部分>'}",
18,"Because of the consumers’ weak status in a market deal and leading status in economic development, the legislation should break through the understanding of equal protection stipulated in the traditional civil law or commercial law, and offer special protection to consumers in the angle of economic law.",civil law,由于消费者在市场交易中的弱势地位和在经济发展中的主导地位，立法应突破传统民法或商法规定的平等保护的认识，从经济法的角度对消费者予以特殊的保护。,['民法'],"['Because of the consumers’ weak status in a market deal and leading status in economic development, the legislation should break through the understanding of equal protection stipulated in the traditional civil code or commercial law, and offer special protection to consumers in the angle of economic law.', 'Because of the consumers’ weak status in a market deal and leading status in economic development, the legislation should break through the understanding of equal protection stipulated in the traditional civil procedure or commercial law, and offer special protection to consumers in the angle of economic law.', 'Because of the consumers’ weak status in a market deal and leading status in economic development, the legislation should break through the understanding of equal protection stipulated in the traditional civil service or commercial law, and offer special protection to consumers in the angle of economic law.']","['civil code', 'civil procedure', 'civil service']","['由于消费者在市场交易中的弱势地位和在经济发展中的主导地位，立法应突破传统民法典或商法规定的平等保护的理解，从经济法的角度对消费者予以特殊的保护。', '由于消费者在市场交易中的弱势地位和在经济发展中的主导地位，立法应突破传统民事诉讼法或商法规定的平等保护的理解，从经济法的角度对消费者予以特殊的保护。', '由于消费者在市场交易中的弱势地位和在经济发展中的主导地位，立法应突破传统民法或商法规定的平等保护的理解，从经济法的角度对消费者予以特殊的保护。']","['民法典', '民事诉讼法', '民法']",['民法'],"{'civil service': 'NO\nDifferent translations: <civil law: 民法, civil service: 公务员服务>'}",
19,"U.S. beef imports were banned here after a single American animal was diagnosed with the fatal nervous disorder known as ""mad cow disease"" in 2003. The fatal disease can be transmitted to humans eating meat from an infected animal.",mad cow disease,2003年，美国一头牲畜被诊断出患有致命的神经疾病“疯牛病”，此后，美国牛肉被禁止进口。这种致命疾病可以通过食用受感染动物的肉传染给人类。,['“疯牛病”'],"['U.S. beef imports were banned here after a single American animal was diagnosed with the fatal nervous disorder known as ""mad dog disease"" in 2003. The fatal disease can be transmitted to humans eating meat from an infected animal.', 'U.S. beef imports were banned here after a single American animal was diagnosed with the fatal nervous disorder known as ""mad cow syndrome"" in 2003. The fatal disease can be transmitted to humans eating meat from an infected animal.', 'U.S. beef imports were banned here after a single American animal was diagnosed with the fatal nervous disorder known as ""mad cow fever"" in 2003. The fatal disease can be transmitted to humans eating meat from an infected animal.']","['mad dog disease', 'mad cow syndrome', 'mad cow fever']","['2003年，一只美国牲畜被诊断出患有一种名为“疯狗病”的致命神经疾病，此后美国牛肉被禁止进口。这种致命疾病可以通过食用受感染动物的肉传染给人类。', '2003年，美国一头牛被诊断出患有致命的神经疾病“疯牛病”，此后，美国牛肉被禁止进口。这种致命疾病可以通过食用受感染动物的肉传染给人类。', '2003年，美国一头牲畜被诊断出患有致命的神经疾病“疯牛病”，此后，美国牛肉被禁止进口。这种致命疾病可以通过食用受感染动物的肉传染给人类。']","['“疯狗病”', '“疯牛病”', '“疯牛病”']",['“疯牛病”'],"{'mad cow syndrome': 'NO\nDifferent translations: <mad cow disease: 疯牛病, mad cow syndrome: 疯牛综合症>', 'mad cow fever': 'NO\nDifferent translations: <mad cow disease: 疯牛病, mad cow fever: 疯牛热>.'}",
20,"Effects of diagenesis on reservoir property and auality,a case study of the Cainan Oilfield in east of Zhun Ga’er Basin",case study,成岩作用对储层物性及品质的影响——以准噶尔盆地东部彩南油田为例,['为例'],"['Effects of diagenesis on reservoir property and auality,a case example of the Cainan Oilfield in east of Zhun Ga’er Basin']",['case example'],['成岩作用对储层物性及品质的影响——以准噶尔盆地东部彩南油田为例'],['为例'],['为例'],"{'case example': 'NO\nDifferent translations: <case study: 案例研究, case example: 案例示例>'}",
21,"An envious friend will want what you have, but will look to you as her inspiration or role model, and compete with you to get in the lead.",role model,嫉妒的朋友会想要你所拥有的东西，但会将你视为她的灵感或榜样，并与你竞争以取得领先地位。,['榜样，'],"['An envious friend will want what you have, but will look to you as her inspiration or a model, and compete with you to get in the lead.']",['a model'],['嫉妒的朋友会想要你所拥有的东西，但会将你视为她的灵感或榜样，并与你竞争以取得领先地位。'],['榜样，'],['榜样，'],"{'a model': 'NO\nDifferent translations: <role model: 榜样, a model: 一个模特>'}",
22,"(ii) the court shall not make an order mentioned in paragraph (a) where it would prejudice another person who has, in good faith and for valuable consideration, acquired an interest in the land.",good faith,(ii) 如果法院作出(a)款中提到的命令会损害其他善意并以有价值的代价获得土地权益的人，则不得作出该命令。,['善意'],"['(ii) the court shall not make an order mentioned in paragraph (a) where it would prejudice another person who has, in good conscience and for valuable consideration, acquired an interest in the land.']",['good conscience'],['（ii）如果法院作出第（a）款所述的命令会损害另一个人（该人本着善意并以有价值对价取得该土地权益）的利益，则法院不得作出该命令。'],['善意'],['善意'],"{'good conscience': 'NO\nDifferent translations: <good faith: 善意, good conscience: 良心>'}",
23,"At present, big companies are using indexes such as selling income、 net profit、 EPS、 ROA、 ROE etc to assess.",net profit,目前，大公司都采用销售收入、净利润、EPS、ROA、ROE等指标来评估。,['净利润、'],"['At present, big companies are using indexes such as selling income、 net income、 EPS、 ROA、 ROE etc to assess.']",['net income'],['目前，大公司都采用销售收入、净利润、EPS、ROA、ROE等指标来评估。'],['净利润、'],['净利润、'],"{'net income': 'NO\nDifferent translations: <net profit: 净利润, net income: 净收入>'}",
24,No regulations made by any committee under section 14 shall be binding on the members of the church until such regulations have been passed by a majority of members present and voting at an annual general meeting of members.,annual general meeting,根据第 14 条由任何委员会制定的规章，除非经出席年度会员大会并投票的大多数会员通过，否则对教会会员不具有约束力。,['年度会员大会'],['No regulations made by any committee under section 14 shall be binding on the members of the church until such regulations have been passed by a majority of members present and voting at an annual general assembly of members.'],['annual general assembly'],['根据第 14 条由任何委员会制定的规章，除非经出席年度会员大会并投票的大多数会员通过，否则对教会会员不具有约束力。'],['年度会员大会'],['年度会员大会'],"{'annual general assembly': 'NO\nDifferent translations: <annual general meeting: 年度会员大会, annual general assembly: 年度会员大会>'}",
25,"In this work we use SDS Polyacrylamid gel electrophoresis (SDS PAGE) to analyzed the protein composition in root like stems and leaves of five species of Polygonatum. The results show:(1)All root like stems contain proteins of 38.5,28,18.6kD molecular weight.",molecular weight,"本文采用十二烷基硫酸钠聚丙烯酰胺凝胶电泳(SDS-PAGE)对5种黄精属植物根茎和叶的蛋白质组成进行了分析,结果表明:(1)根茎中均含有38.5,28,18.6kD分子量的蛋白质。",['分子量。'],"['In this work we use SDS Polyacrylamid gel electrophoresis (SDS PAGE) to analyzed the protein composition in root like stems and leaves of five species of Polygonatum. The results show:(1)All root like stems contain proteins of 38.5,28,18.6kD molecular size.']",['molecular size'],"['本文采用十二烷基硫酸钠聚丙烯酰胺凝胶电泳(SDS-PAGE)技术对5种黄精属植物根茎和叶的蛋白质组成进行了分析,结果表明:(1)根茎中均含有38.5,28,18.6kD分子量的蛋白质。']",['分子量。'],['分子量。'],"{'molecular size': 'NO\nDifferent translations: <molecular weight: 分子量, molecular size: 分子大小>.'}",
26,"(1) Subject to subregulation (2), no person shall use, transport or store a cylinder which contains or has contained liquefied petroleum gas in any manner which prevents the valve connection of the cylinder from being in contact with the vapour space of the cylinder.",liquefied petroleum gas,(1) 除第 (2) 款外，任何人不得以任何方式使用、运输或储存装有或已装有液化石油气的气瓶，以防止气瓶的阀门连接与气瓶的蒸汽空间接触。 。,['液化石油气'],"['(1) Subject to subregulation (2), no person shall use, transport or store a cylinder which contains or has contained liquefied hydrogen gas in any manner which prevents the valve connection of the cylinder from being in contact with the vapour space of the cylinder.', '(1) Subject to subregulation (2), no person shall use, transport or store a cylinder which contains or has contained liquefied petroleum oil in any manner which prevents the valve connection of the cylinder from being in contact with the vapour space of the cylinder.']","['liquefied hydrogen gas', 'liquefied petroleum oil']","['(1) 除第(2)款另有规定外，任何人不得以任何方式使用、运输或储存装有或曾经装有液化氢气的气瓶，以致妨碍气瓶的阀门接头与气瓶的蒸气空间接触。', '(1) 除第 (2) 款另有规定外，任何人不得以任何方式使用、运输或贮存装有或曾经装有液化石油气的气瓶，以致妨碍气瓶的阀门连接处与气瓶的蒸气空间接触。']","['液化氢气', '液化石油气']",['液化石油气'],"{'liquefied petroleum oil': 'NO\nDifferent translations: <liquefied petroleum gas: 液化石油气, liquefied petroleum oil: 液化石油油>.'}",
27,It paid the down payment on my house.,down payment,它支付了我房子的首付。,['首付'],['It paid the down price on my house.'],['down price'],['它支付了我房子的首付。'],['首付'],['首付'],"{'down price': 'NO\nDifferent translations: <down payment: 首付, down price: 降价>'}",
28,"The setting was rather heavy for the warm climate. The room, which was fairly big, was furnished with large chairs and a round table with a green baize cover.",round table,对于温暖的气候来说，布置显得有些沉重。房间相当大，摆放着大椅子和一张铺着绿色绒布桌布的圆桌。,['圆桌'],"['The setting was rather heavy for the warm climate. The room, which was fairly big, was furnished with large chairs and a small table with a green baize cover.', 'The setting was rather heavy for the warm climate. The room, which was fairly big, was furnished with large chairs and a large table with a green baize cover.', 'The setting was rather heavy for the warm climate. The room, which was fairly big, was furnished with large chairs and a round bed with a green baize cover.', 'The setting was rather heavy for the warm climate. The room, which was fairly big, was furnished with large chairs and a round desk with a green baize cover.']","['small table', 'large table', 'round bed', 'round desk']","['对于温暖的气候来说，布置显得有些沉重。房间相当大，摆放着大椅子和一张铺着绿色绒布桌布的小桌子。', '对于温暖的气候来说，布置显得有些沉重。房间相当大，摆放着大椅子和一张铺着绿色绒布桌布的大桌子。', '对于温暖的气候来说，这里的布置显得有些沉重。房间相当大，摆放着大椅子和一张铺着绿色绒布床罩的圆床。', '对于温暖的气候来说，这里的布置显得有些沉重。房间相当大，摆放着大椅子和一张铺着绿色绒布桌布的圆桌。']","['小桌子', '大桌子', '圆床', '圆桌']",['圆桌'],"{'round desk': 'NO\nDifferent translations: <round table: 圆桌, round desk: 圆桌>.'}",
29,The crisis stems from millions of mortgages given in recent years to home-buyers with poor credit or unstable finances. The result has been a tidal wave of foreclosures that have incurred massive losses on financial institutions and some insurance firms.,tidal wave,此次危机源于近年来数百万笔抵押贷款发放给信用不良或财务状况不稳定的购房者。结果导致大量房屋止赎，给金融机构和一些保险公司带来了巨额损失。,[''],['The crisis stems from millions of mortgages given in recent years to home-buyers with poor credit or unstable finances. The result has been a tidal cycle of foreclosures that have incurred massive losses on financial institutions and some insurance firms.'],['tidal cycle'],['此次危机源于近年来数百万笔抵押贷款发放给信用不良或财务状况不稳定的购房者。结果导致止赎潮一再出现，给金融机构和一些保险公司带来了巨额损失。'],[''],[''],{'tidal cycle': 'NO\nDifferent translations: \ntidal wave: 海啸 \ntidal cycle: 潮汐循环'},
30,"(1) refusing an on-site inspection by the competent department of environmental protection administration or another department invested by law with power to conduct environmental supervision and management, or resorting to trickery and fraud while undergoing inspection;",environmental protection,（一）拒绝环境保护行政主管部门或者其他依法具有环境监督管理权的部门现场检查，或者接受检查时采取欺骗手段的；,['环境保护'],"['(1) refusing an on-site inspection by the competent department of environmental control administration or another department invested by law with power to conduct environmental supervision and management, or resorting to trickery and fraud while undergoing inspection;']",['environmental control'],['（一）拒绝环境保护行政主管部门或者其他依法具有环境监督管理权的部门现场检查，或者接受检查时采取欺骗手段的；'],['环境保护'],['环境保护'],"{'environmental control': 'NO\nDifferent translations: <environmental protection: 环境保护, environmental control: 环境控制>'}",
31,"About a quarter work more than 6hours a week, according to official figures, though the real number may higher.",real number,根据官方数据，大约四分之一的人每周工作时间超过 6 小时，但实际数字可能更高。,['实际数字'],"['About a quarter work more than 6hours a week, according to official figures, though the real rate may higher.', 'About a quarter work more than 6hours a week, according to official figures, though the real figure may higher.']","['real rate', 'real figure']","['根据官方数据，大约四分之一的人每周工作时间超过 6 小时，但实际比例可能更高。', '根据官方数据，大约四分之一的人每周工作时间超过 6 小时，但实际数字可能更高。']","['实际比例', '实际数字']",['实际数字'],"{'real figure': 'NO\nDifferent translations: <real number: 实际数字, real figure: 实际数字>'}",
32,"In this repori,we examined pulse rate and body temperature by the routine method,reviewed symptom and sign on 21 fighter pilots,in the preparatory day and flying training day.",body temperature,"本文对21名歼击机飞行员在飞行准备日及飞行训练日按常规方法测量脉率、体温,并回顾性分析其症状体征。",['体温'],"['In this repori,we examined pulse rate and air temperature by the routine method,reviewed symptom and sign on 21 fighter pilots,in the preparatory day and flying training day.']",['air temperature'],['本文对21名歼击机飞行员在飞行准备日及飞行训练日，按常规方法测量脉率、体温，回顾性分析其症状体征。'],['体温'],['体温'],"{'air temperature': 'NO\nDifferent translations: <body temperature: 体温, air temperature: 空气温度>.'}",
