序号,原句,术语,参考翻译,原句翻译,原句术语翻译,insert变异,insert变异翻译,insert术语翻译,原句术语翻译,请问这组插入变异是否存在术语翻译不一致的错误
12,This paper discusses operational mechanism of Microsoft Proxy Server and illustrates the methods of its arrangement and allocation.,proxy server,['代理服务器'],讨论了Microsoft Proxy Server的运行机制并说明了其安排和配置方法。,['MicrosoftProxyServer'],"This paper discusses operational mechanism of Microsoft Proxy Server (a hardware server that acts as an intermediary between a user and another server, usually on the Internet) and illustrates the methods of its arrangement and allocation.",本文讨论了 Microsoft 代理服务器（一种充当用户和另一台服务器（通常在 Internet 上）之间的中介的硬件服务器）的运行机制，并说明了其安排和配置方法。,['代理服务器'],['MicrosoftProxyServer'],
13,"""Merchant Shipping Notice"" (商船公告) means a Notice described as such, issued by the United Kingdom Department of Transport and published by Her Majesty's Stationery Office, and any reference to a particular Merchant Shipping Notice includes a reference to that Notice as amended from time to time by a subsequent Notice;",United Kingdom,"['英国', '大不列颠及北爱尔兰联合王国', '联合王国']",“商船公告”指由英国交通部发布并由英国女王陛下文具办公室出版的此类公告，任何对特定商船公告的提及均包括对经修订的该公告的提及不时通过后续通知；,['英国'],"""Merchant Shipping Notice"" (商船公告) means a Notice described as such, issued by the United Kingdom (the United Kingdom of Great Britain and Ireland (1801–1922)) Department of Transport and published by Her Majesty's Stationery Office, and any reference to a particular Merchant Shipping Notice includes a reference to that Notice as amended from time to time by a subsequent Notice;",“商船公告”（Merchant Shipping Notice） 指由联合王国（大不列颠及爱尔兰联合王国（1801-1922））运输部发出并由女王陛下文书局出版的通告，凡提述某一商船公告，包括提述经其后通告不时修订的该公告；,['联合王国'],['英国'],
14,"(1) Where any Ordinance empowers the Director to audit, examine or inquire into the accounts of any person, body corporate or other body, the Director-",body corporate,['业主法团'],(c) 任何根据本条例获授权的人，可就该人所获授权的事宜，向处长提出申请，要求处长批准该人所获授权的事宜。,[''],"(1) Where any Ordinance empowers the Director to audit, examine or inquire into the accounts of any person, body corporate (a legal person) or other body, the Director-",(c) 任何根据本条例获授权的人，可向处长或任何获授权代表该人行事的任何人，或任何获授权代表该人行事的人，或任何获授权代表该人行事的人，,['人行事'],[''],
15,"Moving this fast is bad science, no matter who the guinea pig is.",guinea pig,"['天竺鼠', '白老鼠', '实验品', '豚鼠']",无论实验对象是谁，如此快速的行动都是糟糕的科学。,[''],"Moving this fast is bad science, no matter who the guinea pig (a living experimental subject) is.",无论豚鼠（活生生的实验对象）是谁，如此快速的行动都是糟糕的科学。,['豚鼠'],[''],
16,"""Division Officer, Family and Child Care Services, Hong Kong Council of Social Service""",social service,['社会服务'],&quot;香港社会服务联会家庭及幼儿服务部主任&quot;,['社会;'],"""Division Officer, Family and Child Care Services, Hong Kong Council of Social Service (a government-run program meant to benefit society as a whole, with a particular view to the less economically fortunate)""",”,['”'],['社会;'],
17,Trade Related Investment Measures and the Adjustment of Host Country's Foreign Investment Policy,host country,['东道国'],贸易相关投资措施与东道国外资政策调整,['东道国'],Trade Related Investment Measures and the Adjustment of Host Country (a country in which an international event is held)'s Foreign Investment Policy,贸易相关投资措施与国际盛事举办国外资政策调整,[''],['东道国'],
18,"The LWB Mg/Al weld was characterized by complex vortex flow at the bottom, and there existed intermetallic compound layer between weld pool and lower sheet metal, which was composed of the brittle phases of Al_3Mg_2 and Al_(12)Mg_(17), resulting in the formation of weld cracking.",sheet metal,['板金'],"激光焊接Mg/Al焊缝底部存在复杂涡流,且焊池与下层板料之间存在由Al_3Mg_2及Al_（12）Mg_（17）脆性相组成的金属间化合物层,导致焊接裂纹的形成。",['板料'],"The LWB Mg/Al weld was characterized by complex vortex flow at the bottom, and there existed intermetallic compound layer between weld pool and lower sheet metal (metal worked into a thin, flat sheet, used widely as construction material and raw material for a multitude of industrial products, it is thicker than foil and thinner than plate), which was composed of the brittle phases of Al_3Mg_2 and Al_(12)Mg_(17), resulting in the formation of weld cracking.","激光焊接Mg/Al焊缝底部具有复杂的涡流特征,且焊接熔池与下层金属(金属加工成薄平板状,广泛用于建筑材料和多种工业产品的原材料,其厚度大于箔材而小于板材)之间存在由Al_3Mg_2及Al_(12)Mg_(17)脆性相组成的金属间化合物层,导致焊接裂纹的形成。",['下层金属'],['板料'],
19,"(1) This section applies to an agreement between 2 or more persons which includes provision for the acquisition by any one or more of them of interests in shares of a particular listed company (""the target company""), being shares comprised in the relevant share capital of that company if-",share capital,['股本'],(b) 凡任何人士就某项协议而获授权代表该人士行事，而该项协议的涵义并不影响该人士就该项协议所订立的条文。,['条文'],"(1) This section applies to an agreement between 2 or more persons which includes provision for the acquisition by any one or more of them of interests in shares of a particular listed company (""the target company""), being shares comprised in the relevant share capital (the part of a company's capital that is financed by shareholders through the issue of shares) of that company if-",(1) 本条适用于2名或多于2名人士之间达成的协议，该协议包括订立协议，规定其中任何一人或多于一人收购某上市公司(“目标公司”)的股份权益，而该等股份是该公司有关股本(公司股本中由股东透过发行股份而资助的部分)所组成的股份，但如该等股份属例外，则属例外。,['股本'],['条文'],
20,"The economy of the People's Republic of China, in its turn, is projected to grow 9.3 percent this year and 8.8 percent in 2007 according to figures published Monday by the“China Securites Journal ”quoting the state information service.",People's Republic of China,['中华人民共和国'],据《中国证券报》周一援引国家信息服务机构的数据，预计今年中国经济将增长 9.3%，2007 年将增长 8.8%。,[''],"The economy of the People's Republic of China (the official name of China, sometimes contrasted to the Republic of China (Taiwan)), in its turn, is projected to grow 9.3 percent this year and 8.8 percent in 2007 according to figures published Monday by the“China Securites Journal ”quoting the state information service.",据《中国证券报》周一援引国家信息服务机构的数据，中华人民共和国（中国的正式名称，有时与中华民国（台湾）相对）的经济预计今年将增长 9.3％，2007 年将增长 8.8％。,['中华人民共和国'],[''],
21,Sugar apple is a medium - sized tropical fruit.,sugar apple,"['番荔枝', '释迦', '释迦果']",释迦牟尼是一种中型的热带水果。,['释迦牟尼'],"Sugar apple (Sweetsop, Annona squamosa, a West Indian tree or its fruit) is a medium - sized tropical fruit.",番荔枝（Sweetsop、Annona squamosa，一种西印度树或其果实）是一种中等大小的热带水果。,['番荔枝'],['释迦牟尼'],
22,"A time period shall not include traveling time, a litigation document that is mailed before the expiration of a time limit shall not be regarded as overdue.",time limit,"['时限', '限期']",期间不包括路途时间，提前寄送的诉讼文书不视为逾期。,[''],"A time period shall not include traveling time, a litigation document that is mailed before the expiration of a time limit (a time by which something must be finished) shall not be regarded as overdue.",期间不包括旅行时间，在期限届满前寄出的诉讼文书，不视为逾期。,['期限'],[''],
23,"Follow - up was carried out, computed tomography(CT) images and color ultrasonic images proved a fully patent graft 8 - 6months after operation and no recurrence.",computed tomography,"['计算机体层成像', '电脑断层扫描']",术后8 - 6个月随访，CT图像及彩色超声图像显示移植瘤完全通畅，无复发。,['CT'],"Follow - up was carried out, computed tomography (a form of radiography which uses computer software to create images, or slices, at various planes of depth from images taken around a body or volume of interest, sometimes called “computerized tomography”)(CT) images and color ultrasonic images proved a fully patent graft 8 - 6months after operation and no recurrence.",进行了随访，计算机断层扫描（一种使用计算机软件从围绕身体或感兴趣体积拍摄的图像中在各个深度平面上创建图像或切片的射线照相技术，有时称为“计算机断层扫描”）（CT）图像和彩色超声波图像证明手术后 8 - 6 个月移植物完全通畅并且没有复发。,['计算机断层扫描'],['CT'],
24,"SAFE Branches in all provinces, autonomous regions, and municipalities directly under the Central Government, exchange administration offices, and SAFE branches in the cities of Shenzhen, Dalian, Qingdao, Xiamen, and Ningbo:",central government,['中央政府'],各省、自治区、直辖市分局，外汇管理局，深圳、大连、青岛、厦门、宁波市分局：,['，'],"SAFE Branches in all provinces, autonomous regions, and municipalities directly under the Central Government (the highest level of government in a unitary state), exchange administration offices, and SAFE branches in the cities of Shenzhen, Dalian, Qingdao, Xiamen, and Ningbo:",国家外汇管理局各省、自治区、直辖市分局，外汇管理部，深圳、大连、青岛、厦门、宁波市分局：,['国家外汇管理局'],['，'],
25,"A: I won't have that coffee right now, but can I take a rain check on it?",rain check,['改天'],A：我现在不喝咖啡，但是我可以先喝一下吗？,[''],"A: I won't have that coffee right now, but can I take a rain check (an agreement to honor a current offer after its normal expiration) on it?",A：我现在不会喝那杯咖啡，但是我可以接受临时支票（正常到期后兑现当前报价的协议）吗？,['临时支票'],[''],
26,Computer Real-Time Monitor and Control for the Working Process of a New Type of Slotting Machine,slotting machine,['插床'],新型插床工作过程的计算机实时监控,['插床'],Computer Real-Time Monitor and Control for the Working Process of a New Type of Slotting Machine (a reciprocating machine tool used to cut mortises and to shape openings),新型开槽机（用于开榫眼和成型开口的往复机床）工作过程的计算机实时监控,['开槽机'],['插床'],
27,Application in the World Expo Model Based on the Virtual Reality Technology of VRML,virtual reality,['虚拟现实'],基于VRML虚拟现实技术的世博模型应用,['虚拟现实'],Application in the World Expo Model Based on the Virtual Reality (a computer technology that simulates a real or imagined environment so that the user can interact with it as if physically present) Technology of VRML,VRML技术在世博会模型中的应用,[''],['虚拟现实'],
28,Objective To gain stable genetic modification of neural stem cells (NSC) that constitutively secrete brain-derived neurotropic factor (BDNF) and to explore the biological role on the survival and neurite outgrowth of cultured dorsal root ganglion (DRG) neurons.,genetic modification,"['转基因', '遗传改良', '基因转变', '遗传修饰', '基因改造']",目的获得稳定分泌脑源性神经营养因子（BDNF）的神经干细胞（NSC）的遗传改造，并探讨其对培养背根神经节（DRG）神经元存活和神经突生长的生物学作用。,['遗传改造'],"Objective To gain stable genetic modification (see: genetic, modification) of neural stem cells (NSC) that constitutively secrete brain-derived neurotropic factor (BDNF) and to explore the biological role on the survival and neurite outgrowth of cultured dorsal root ganglion (DRG) neurons.",目的获得稳定分泌脑源性神经营养因子（BDNF）的神经干细胞（NSC），并探讨其对培养背根神经节（DRG）神经元存活和神经突生长的生物学作用。,['分泌'],['遗传改造'],
29,Technical specification for investigation of geotechnical engineering of fossil fuel power plant,fossil fuel,['化石燃料'],火力发电厂岩土工程勘察技术规范,['火力发电厂岩土'],"Technical specification for investigation of geotechnical engineering of fossil fuel (any fuel derived from hydrocarbon deposits such as coal, petroleum, natural gas and, to some extent, peat; these fuels are non-renewable, and their burning moves carbon from underground into the atmosphere via the greenhouse gas carbon dioxide) power plant",化石燃料岩土工程调查技术规范（任何源自碳氢化合物沉积物的燃料，例如煤、石油、天然气，以及某种程度上的泥炭；这些燃料是不可再生的，它们的燃烧将碳从地下转移到大气中通过温室气体二氧化碳）发电厂,['化石燃料'],['火力发电厂岩土'],
30,People have a sweet tooth at movies.,sweet tooth,['爱吃甜食'],人们喜欢看电影。,['喜欢'],People have a sweet tooth (someone with a liking for sweet foods) at movies.,人们在看电影时爱吃甜食（喜欢吃甜食的人）。,['甜食'],['喜欢'],
31,"To “stumble” means to fall; “stumbling block,” then, would be something in your path – in your way that would make you fall.",stumbling block,"['障碍物', '绊脚石']",“stumble” 的意思是跌倒；那么“stamling block” 就是你路上的某种东西，会使你跌倒。,['“stamlingblock”'],"To “stumble” means to fall; “stumbling block (a hindrance, obstacle or impediment; an opportunity for error),” then, would be something in your path – in your way that would make you fall.",“stumble” 的意思是跌倒；“绊脚石（阻碍、障碍或阻碍；犯错的机会）”是指你路上的某样东西，会使你跌倒。,['“绊脚石”'],['“stamlingblock”'],
32,"Article 9 The relevant competent administrative departments in the provinces, autonomous regions and municipalities directly under the Central Government are responsible for the standardization work in their own departments and trades in the respective administrative regions, and shall perform the following duties:",central government,['中央政府'],第九条 省、自治区、直辖市人民政府有关行政主管部门负责本行政区域内本部门、本行业的标准化工作，履行下列职责：,['人民政府'],"Article 9 The relevant competent administrative departments in the provinces, autonomous regions and municipalities directly under the Central Government (the highest level of government in a unitary state) are responsible for the standardization work in their own departments and trades in the respective administrative regions, and shall perform the following duties:",第九条 省、自治区、直辖市（单一制国家的最高政府）有关行政主管部门负责本行政区域内本部门、本行业的标准化工作，履行下列职责：,[''],['人民政府'],
33,"(1) Where, on the application of the Manager of an authorized institution at any time during the period for which a direction given under section 52 (1) (C) is in force in respect of the institution, it appears to the Court of First Instance that-",court of first instance,['原讼法庭'],(c) 凡任何认可机构的经理根据第52(1)(C)条发出的指示在该机构的有效期内的任何时间提出申请，原讼法庭认为该机构的经理可就该机构的职能或程序，向该机构发出指示。,['原讼法庭'],"(1) Where, on the application of the Manager of an authorized institution at any time during the period for which a direction given under section 52 (1) (C) is in force in respect of the institution, it appears to the Court of First Instance (a court of law where legal proceedings are first heard) that-",(c) 在该等指示的有效期内，该等指示须由该认可机构的经理根据该等指示行事，而该等指示须由该机构的经理根据该等指示行事。,['的'],['原讼法庭'],
34,"Circular of the State Administration of Taxation of the People's Republic of China, on Issues Concerning Strengthening the Administration of Special Payment Books of Customs Import VAT and that of the Invoice of Waste and Outdated Materials",People's Republic of China,['中华人民共和国'],国家税务总局关于加强海关进口增值税专用缴款书和废旧物资发票管理有关问题的通知,[''],"Circular of the State Administration of Taxation of the People's Republic of China (the official name of China, sometimes contrasted to the Republic of China (Taiwan)), on Issues Concerning Strengthening the Administration of Special Payment Books of Customs Import VAT and that of the Invoice of Waste and Outdated Materials",中华人民共和国国家税务总局关于加强海关进口增值税专用缴款簿管理有关问题的通知废物和过时材料的发票,['中华人民共和国'],[''],
35,"“This year we want to highlight the Portuguese-speaking countries and maximize business with the Portuguese and African markets, ”Hor ácio Melo, who was responsible for the event promoted by the Brazilian Service to Support Micro and Small Companies(Sebrae) of the State of Ceará, told Portuguese news agency Lusa.",news agency,"['新闻社', '通讯社']",巴西塞阿拉州中小微型企业支持服务局（Sebrae）主办的此次展会的负责人 Hor ácio Melo 向葡萄牙卢萨社表示：“今年，我们希望重点展示葡语国家，并最大程度地拓展葡萄牙和非洲市场的业务。”,['卢萨社'],"“This year we want to highlight the Portuguese-speaking countries and maximize business with the Portuguese and African markets, ”Hor ácio Melo, who was responsible for the event promoted by the Brazilian Service to Support Micro and Small Companies(Sebrae) of the State of Ceará, told Portuguese news agency (an organisation that gathers and distributes news to newspapers and radio and television broadcasters) Lusa.",巴西塞阿拉州中小微企业支持服务局（Sebrae）主办的此次展会的负责人 Hor ácio Melo 向葡萄牙新闻社（一家收集并向报纸、广播电台和电视台分发新闻的机构）卢萨社表示：“今年，我们希望重点展示葡语国家，并最大程度地拓展葡萄牙和非洲市场的业务。”,['新闻社'],['卢萨社'],
36,Oxygen in the gas phase was beneficial to the absorption of NO into the hexamminecobalt solution. The experiments performe manifestly that the hexamminecobalt solution coupled with catalytic regeneration of hexamminecobalt (Ⅱ) was able to maintain a high nitric oxide removal efficiency for a long time.,nitric oxide,['一氧化氮'],气相中的氧气有利于六氨合钴溶液对NO的吸收，实验表明六氨合钴溶液结合六氨合钴（Ⅱ）催化再生能长时间维持较高的NO去除率。,[''],Oxygen in the gas phase was beneficial to the absorption of NO into the hexamminecobalt solution. The experiments performe manifestly that the hexamminecobalt solution coupled with catalytic regeneration of hexamminecobalt (Ⅱ) was able to maintain a high nitric oxide (the binary compound of nitrogen and oxygen NO; an unstable compound which rapidly oxidizes in the presence of air) removal efficiency for a long time.,气相中的氧气有利于六氨合钴溶液对NO的吸收，实验表明六氨合钴溶液结合六氨合钴（Ⅱ）催化再生能够长时间维持较高的一氧化氮（NO是氮和氧的二元化合物，是一种不稳定的化合物，在空气存在下会迅速氧化）去除率。,['一氧化氮'],[''],
37,"3. The foreign exchange sale, purchase and payment of the QFII; and",foreign exchange,['外汇'],（三）合格投资者的结售汇、购汇、付汇业务；和,['合格'],"3. The foreign exchange (foreign currency) sale, purchase and payment of the QFII; and",3.QFII外汇（外币）售汇、购汇及支付情况；,['外汇'],['合格'],
38,"Convention on the Conservation and Management of Pollack Resources in Central Bering Sea Area, Washington, 1994",Bering Sea,['白令海'],白令中部海域明太鱼资源保护和管理公约，华盛顿，1994 年,['海域'],"Convention on the Conservation and Management of Pollack Resources in Central Bering Sea (the sea between Siberia and Alaska, north of the Pacific Ocean, that is connected to the Arctic Ocean by the Bering Strait) Area, Washington, 1994",中部白令海（西伯利亚和阿拉斯加之间的海域，太平洋以北，通过白令海峡与北冰洋相连）地区明太鱼资源保护和管理公约，华盛顿，1994 年,['白令海'],['海域'],
39,But the Pentagon recently gave the program the green light to build the first 20 avionics kits under Low -Rate Initial Production.,green light,"['开绿灯', '绿灯']",但五角大楼最近批准该计划以低速率初始生产的方式制造前 20 套航空电子设备。,[''],"But the Pentagon recently gave the program the green light (approval, or permission to proceed) to build the first 20 avionics kits under Low -Rate Initial Production.",但五角大楼最近为该计划开了绿灯（批准或准许继续进行），以低速率初始生产的方式制造前 20 套航空电子设备。,['绿灯'],[''],
40,"The company, which operates over 500 routes, also plans a stock exchange listing by the end of the year, after merging with subsidiary airlines, under the name Grand China.",stock exchange,"['证券交易所', '交易所', '股票交易所']",该公司运营着 500 多条航线，还计划在与子公司合并后，以“大新华航空”的名义在今年年底上市。,[''],"The company, which operates over 500 routes, also plans a stock exchange (an organisation that trades stocks in of companies for money and vice versa) listing by the end of the year, after merging with subsidiary airlines, under the name Grand China.",该公司经营着 500 多条航线，还计划在与子公司合并后，以大新华航空的名义在年底前在证券交易所（一种将公司股票与金钱进行交易的组织）上市。,['证券'],[''],
41,Specification for design of insulation and painting of fossil fuel power plant,fossil fuel,['化石燃料'],火力发电厂保温与涂装设计规范,['火力发电厂'],"Specification for design of insulation and painting of fossil fuel (any fuel derived from hydrocarbon deposits such as coal, petroleum, natural gas and, to some extent, peat; these fuels are non-renewable, and their burning moves carbon from underground into the atmosphere via the greenhouse gas carbon dioxide) power plant",化石燃料绝缘和涂装设计规范（任何源自碳氢化合物沉积物的燃料，例如煤、石油、天然气以及某种程度上的泥炭；这些燃料是不可再生的，它们的燃烧将碳从地下转移到大气中通过温室气体二氧化碳）发电厂,['化石燃料'],['火力发电厂'],
42,That deeply angered not only Ecuador but other countries in South America who will meet next Friday.,South America,"['南美洲', '南美']",这不仅激怒了厄瓜多尔，也激怒了下周五即将举行会议的其他国家。,[''],"That deeply angered not only Ecuador but other countries in South America (the continent that is the southern part of the Americas, it is east of the Pacific Ocean, west of the Atlantic Ocean, south of North America and north of Antarctica) who will meet next Friday.",此举不仅激怒了厄瓜多尔，也激怒了将于下周五举行会议的南美洲（南美洲大陆，位于太平洋以东、大西洋以西、北美洲以南、南极洲以北）其他国家。,['南美洲'],[''],
43,"""Now we'll have an order of magnitude more people that interview for those same positions.""",order of magnitude,['数量级'],“现在，参加相同职位面试的人数将大大增加。”,['人数大大增加'],"""Now we'll have an order of magnitude (the class of scale or magnitude of any amount, where each class contains values of a fixed ratio (most often 10) to the class preceding it) more people that interview for those same positions.""",“现在，我们将有更多人参加同一职位的面试（数量级或任意数量的量级，其中每个类别与其前一个类别的值具有固定比率（通常为 10）。”,['的比率'],['人数大大增加'],
44,"Circular of the General Administration of Quality Supervision, Inspection and Quarantine of the People's Republic of China, on Several Opinions on Further Strengthening Administration of Inspection of Import Waste Raw Materials",People's Republic of China,['中华人民共和国'],国家质量监督检验检疫总局关于进一步加强进口废物原料检验管理的若干意见的通知,[''],"Circular of the General Administration of Quality Supervision, Inspection and Quarantine of the People's Republic of China (the official name of China, sometimes contrasted to the Republic of China (Taiwan)), on Several Opinions on Further Strengthening Administration of Inspection of Import Waste Raw Materials",中华民国国家质量监督检验检疫总局关于进一步加强进口废物原料检验管理的若干意见的通知材料,['中华民国的'],[''],
45,(5) The Road Company and the Mass Transit Railway Corporation shall afford reasonable access to any utility in the immersed tube by the owner or person having the control of that utility.,mass transit,"['大众运输', '公共运输']",(5) 道路公司及地下铁路公司须为拥有者或控制沉管内任何公用设施的人提供合理通道。,['地下铁路'],(5) The Road Company and the Mass Transit (a large-scale transportation system in which the passengers do not travel in their own vehicles) Railway Corporation shall afford reasonable access to any utility in the immersed tube by the owner or person having the control of that utility.,（5）道路公司和公共交通（乘客不乘坐自己车辆的大型运输系统）铁路公司应当为沉管内任何设施的所有者或控制者提供合理的使用权。,['公共交通'],['地下铁路'],
